dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.000000,203.000000,0.001521,0.152130,7.606491,380.324544,0.000102
0.020000,26.000000,203.000000,0.007606,0.456389,15.212982,380.324544,0.000088
0.020000,26.000000,203.000000,0.021298,0.912779,22.819473,380.324544,0.000057
0.020000,26.000000,203.000000,0.045639,1.521298,30.425963,380.324544,0.000001
0.020000,26.037507,202.999998,0.083671,2.281947,38.032454,380.324544,6.283100
0.020000,26.092274,202.999990,0.138438,3.194726,45.638945,380.324544,6.282975
0.020000,26.166818,202.999968,0.212982,4.259635,53.245436,380.324544,6.282804
0.020000,26.264181,202.999920,0.310345,5.476673,60.851927,380.324544,6.282580
0.020000,26.387406,202.999828,0.433570,6.845842,68.458418,380.324544,6.282296
0.020000,26.539535,202.999666,0.585700,8.367140,76.064909,380.324544,6.281943
0.020000,26.723612,202.999398,0.769777,10.040568,83.671400,380.324544,6.281513
0.020000,26.942679,202.998975,0.988844,11.866126,91.277890,380.324544,6.280999
0.020000,27.199777,202.998335,1.245943,13.843813,98.884381,380.324544,6.280390
0.020000,27.497950,202.997395,1.544118,15.973631,106.490872,380.324544,6.279676
0.020000,27.840240,202.996052,1.886410,18.255578,114.097363,380.324544,6.278848
0.020000,28.229688,202.994178,2.275862,20.689655,121.703854,380.324544,6.277894
0.020000,28.669335,202.991612,2.715517,23.275862,129.310345,380.324544,6.276802
0.020000,29.160703,202.988172,3.206897,25.862069,129.310345,0.000000,6.275562
0.020000,29.703787,202.983654,3.750000,28.448276,129.310345,0.000000,6.274168
0.020000,30.298586,202.977829,4.344828,31.034483,129.310345,0.000000,6.272613
0.020000,30.945096,202.970439,4.991379,33.620690,129.310345,-0.000000,6.270889
0.020000,31.643310,202.961192,5.689655,36.206897,129.310345,0.000000,6.268988
0.020000,32.393223,202.949765,6.439655,38.793103,129.310345,-0.000000,6.266901
0.020000,33.194825,202.935798,7.241379,41.379310,129.310345,0.000000,6.264618
0.020000,34.048106,202.918895,8.094828,43.965517,129.310345,-0.000000,6.262128
0.020000,34.953051,202.898615,9.000000,46.551724,129.310345,-0.000000,6.259420
0.020000,35.909643,202.874478,9.956897,49.137931,129.310345,0.000000,6.256483
0.020000,36.917859,202.845952,10.965517,51.724138,129.310345,-0.000000,6.253303
