dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.001349,189.750000,0.001471,0.147059,7.352941,367.647059,0.000102
0.020000,26.001172,189.750000,0.001648,0.008873,-6.909301,-713.112099,0.000088
0.020000,26.000772,189.750000,0.002047,0.019971,0.554897,373.209907,0.000058
0.020000,26.000062,189.750000,0.002758,0.035527,0.777826,11.146449,0.000005
0.020000,26.033669,189.749999,0.036365,1.680336,82.240415,4073.129456,6.283106
0.020000,26.085007,189.749991,0.087703,2.566903,44.328363,-1895.602602,6.282985
0.020000,26.154878,189.749972,0.157575,3.493595,46.334583,100.310977,6.282820
0.020000,26.246131,189.749929,0.248827,4.562629,53.451729,355.857320,6.282604
0.020000,26.361609,189.749846,0.364305,5.773875,60.562316,355.529356,6.282329
0.020000,26.504152,189.749699,0.506848,7.127165,67.664488,355.108599,6.281988
0.020000,26.676597,189.749457,0.679294,8.622273,74.755368,354.544003,6.281574
0.020000,26.881776,189.749075,0.884472,10.258942,81.833484,353.905785,6.281076
0.020000,27.122512,189.748497,1.125209,12.036849,88.895355,353.093562,6.280488
0.020000,27.401623,189.747648,1.404322,13.955628,95.938934,352.178932,6.279800
0.020000,27.721917,189.746436,1.724619,16.014833,102.960228,351.064716,6.279001
0.020000,28.086193,189.744745,2.088898,18.213962,109.956491,349.813129,6.278081
0.020000,28.497235,189.742431,2.499947,20.552439,116.923832,348.367070,6.277028
0.020000,28.956396,189.739330,2.959118,22.958550,120.305558,169.086276,6.275833
0.020000,29.463593,189.735262,3.466332,25.360710,120.107996,-9.878114,6.274491
0.020000,30.018739,189.730021,4.021502,27.758495,119.889252,-10.937195,6.272994
0.020000,30.621732,189.723377,4.624532,30.151496,119.650025,-11.961331,6.271336
0.020000,31.272464,189.715074,5.275317,32.539274,119.388901,-13.056183,6.269509
0.020000,31.969402,189.704847,5.972329,34.850612,115.566895,-191.100316,6.267507
0.020000,32.709590,189.692439,6.712621,37.014594,108.199122,-368.388637,6.265332
0.020000,33.490075,189.677589,7.493248,39.031349,100.837726,-368.069814,6.262982
0.020000,34.307909,189.660036,8.311270,40.901090,93.487076,-367.532520,6.260458
0.020000,35.160143,189.639518,9.163752,42.624086,86.149815,-366.863025,6.257759
0.020000,36.043838,189.615780,10.047765,44.200685,78.829919,-365.994809,6.254888
0.020000,36.956059,189.588576,10.960391,45.631282,71.529867,-365.002580,6.251845
0.020000,37.893876,189.557674,11.898718,46.916330,64.252390,-363.873889,6.248633
0.020000,38.854372,189.522857,12.859845,48.056345,57.000740,-362.582495,6.245256
0.020000,39.834637,189.483928,13.840882,49.051872,49.776353,-361.219359,6.241716
0.020000,40.831771,189.440716,14.838952,49.903514,42.582105,-359.712358,6.238019
0.020000,41.842888,189.393074,15.851190,50.611899,35.419231,-358.143742,6.234170
0.020000,42.865110,189.340892,16.874744,51.177695,28.289825,-356.470261,6.230176
0.020000,43.895578,189.284091,17.906776,51.601590,21.194756,-354.753455,6.226045
0.020000,44.931442,189.222633,18.944462,51.884302,14.135583,-352.958656,6.221787
0.020000,45.969871,189.156522,19.984993,52.026554,7.112597,-351.149313,6.217409
0.020000,47.008047,189.085808,21.025575,52.029086,0.126620,-349.298860,6.212925
0.020000,48.044555,189.010483,22.064816,51.962064,-3.351126,-173.887309,6.208340
