dt,x,y,position,velocity,acceleration,jerk,heading
0.02,-4.07013E-06,199.376941,0,0.07355,11.0275,367.75,6.283185
0.02,0.00146693,199.376941,0.001471,0.2941,18.3825,367.75,6.283185
0.02,0.00734893,199.376941,0.007353,0.66175,25.7375,367.375,6.283185
0.02,0.02058393,199.376941,0.020588,1.1765,33.085,368,6.283185
0.02,0.04411393,199.376941,0.044118,1.8382,40.445,367.25,6.283185
0.02,0.08087793,199.376941,0.080882,2.6471,47.79,368,6.283185
0.02,0.13381993,199.376941,0.133824,3.6029,55.15,367.5,6.283185
0.02,0.20587793,199.3769409,0.205882,4.7059,62.5,367.5,6.283185
0.02,0.29999593,199.3769409,0.3,5.9559,69.85,368,6.283185
0.02,0.41911393,199.3769409,0.419118,7.3529,77.21,367.25,6.283185
0.02,0.56617193,199.3769408,0.566176,8.8971,84.555,368,6.283185
0.02,0.74411393,199.3769408,0.744118,10.5882,91.915,367.375,6.283185
0.02,0.95587793,199.3769407,0.955882,12.4265,99.2625,367.75,6.283185
0.02,1.20440793,199.3769406,1.204412,14.41175,106.6175,367.75,6.283185
0.02,1.49264293,199.3769405,1.492647,16.5441,113.9725,367.5,6.283185
0.02,1.82352493,199.3769404,1.823529,18.82355,121.3225,183.875,6.283185
0.02,2.19999593,199.3769403,2.2,21.25,125,-1.59872E-10,6.283185
0.02,2.62499593,199.3769402,2.625,23.75,125,4.40536E-11,6.283185
0.02,3.09999593,199.37694,3.1,26.25,125,6.25278E-11,6.283185
0.02,3.62499593,199.3769399,3.625,28.75,125,-5.32907E-11,6.283185
0.02,4.19999593,199.3769397,4.2,31.25,125,-183.875,6.283185
0.02,4.82499593,199.3769395,4.825,33.75,121.3225,-367.5,6.283185
0.02,5.49999593,199.3769393,5.5,36.17645,113.9725,-367.75,6.283185
0.02,6.22352493,199.3769391,6.223529,38.4559,106.6175,-367.75,6.283185
0.02,6.99264293,199.3769389,6.992647,40.58825,99.2625,-367.375,6.283185
0.02,7.80440793,199.3769386,7.804412,42.5735,91.915,-368,6.283185
0.02,8.65587793,199.3769383,8.655882,44.4118,84.555,-367.25,6.283185
0.02,9.54411393,199.3769381,9.544118,46.1029,77.21,-368,6.283185
0.02,10.46617193,199.3769378,10.466176,47.6471,69.85,-367.5,6.283185
0.02,11.41911393,199.3769375,11.419118,49.0441,62.5,-367.5,6.283185
0.02,12.39999593,199.3769372,12.4,50.2941,55.15,-368,6.283185
0.02,13.40587793,199.3769369,13.405882,51.3971,47.79,-367.25,6.283185
0.02,14.43381993,199.3769366,14.433824,52.3529,40.445,-368,6.283185
0.02,15.48087793,199.3769362,15.480882,53.1618,33.085,-367.375,6.283185
0.02,16.54411393,199.3769359,16.544118,53.8235,25.7375,-367.75,6.283185
0.02,17.62058393,199.3769356,17.620588,54.33825,18.3825,-367.75,6.283185
0.02,18.70734893,199.3769353,18.707353,54.7059,11.0275,-367.5,6.283185
0.02,19.80146693,199.3769349,19.801471,54.92645,3.6775,-183.3662338,6.283185
0.02,20.89999593,199.3769346,20.9,55,0.010175324,-1.017532382,6.283185
0.02,21.99999593,199.3769342,22,55.00020351,-0.010175324,0.508766192,6.283185
