dt,x,y,position,velocity,acceleration,jerk,heading
0.02,25.99775,233,0,0,3.8025,410.375,0.000075
0.02,25.99775,233,0,0.07605,12.01,380.375,0.000075
0.02,25.999271,233.0000001,0.001521,0.31625,19.6175,402.75,0.000075
0.02,26.005596,233.0000005,0.007846,0.7086,27.6725,388.9019617,0.000067
0.02,26.019768,233.0000012,0.022018,1.26205,35.45053923,389.4460765,0.000051
0.02,26.045009,233.0000018,0.047259,1.971060785,43.23946076,400.1519616,0.000021
0.02,26.08443022,233.0000008,0.086680216,2.83585,51.2425,383.9999999,6.28316
0.02,26.14114722,232.9999957,0.143397216,3.8607,58.9225,391.6249998,6.283095
0.02,26.21836121,232.9999819,0.220611216,5.03915,66.75499999,380.3749998,6.283006
0.02,26.31914421,232.9999524,0.321394216,6.37425,74.36249999,391.4999996,6.282892
0.02,26.4466292,232.9998971,0.448879216,7.861499999,82.19249998,369.1249998,6.28275
0.02,26.60385917,232.9998021,0.606109216,9.505349999,89.57499998,380.2499997,6.28258
0.02,26.79396611,232.9996492,0.796216216,11.29685,97.17999997,369.2499999,6.282379
0.02,27.01990299,232.9994156,1.022153216,13.24045,104.565,361.3748751,6.28215
0.02,27.28471177,232.9990739,1.286962216,15.33175,111.7924975,357.8752503,6.281893
0.02,27.59134639,232.9985918,1.593597216,17.56759995,118.9500025,339.124876,6.281611
0.02,27.94269777,232.9979332,1.944949214,19.9466,125.7325,152.7500009,6.281309
0.02,28.34162881,232.9970594,2.343881214,22.46125,128.7875,-60.24999871,6.280993
0.02,28.7908524,232.995932,2.793106214,25.037,127.5825,-59.74999929,6.280674
0.02,29.2915904,232.994519,3.293846214,27.58865,126.3875001,-71.49999998,6.280362
0.02,29.84336073,232.9928023,3.845619214,30.1164,124.9575001,-74.75000092,6.280073
0.02,30.44568533,232.9907776,4.447947214,32.61555,123.4625,-82.62500128,6.279823
0.02,31.09799221,232.9884594,5.100258214,35.0848,121.81,-78.75000008,6.279631
0.02,31.79968349,232.9858854,5.801954214,37.521,120.235,-101.1249956,6.279517
