dt,x,y,position,velocity,acceleration,jerk,heading
0.02,26,203,0,0,3.8025,380.375,0.000075
0.02,26,203,0,0.07605,11.41,380.375,0.000075
0.02,26.001521,203.0000002,0.001521,0.30425,19.0175,380.25,0.000075
0.02,26.007606,203.0000006,0.007606,0.6846,26.6225,380.2500383,0.000067
0.02,26.021298,203.0000013,0.021298,1.21705,34.22750077,380.4999235,0.000051
0.02,26.045639,203.0000018,0.045639,1.901600015,41.83749924,380.2500384,0.000021
0.02,26.083671,203.0000008,0.083671,2.73835,49.4425,380.2500001,6.28316
0.02,26.138438,202.9999958,0.138438,3.7272,57.0475,380.3750002,6.283095
0.02,26.212982,202.9999824,0.212982,4.86815,64.65500001,380.3750002,6.283006
0.02,26.31034499,202.9999537,0.310345,6.16125,72.26250001,380.2500004,6.282892
0.02,26.43356998,202.9998999,0.43357,7.606500001,79.86750002,380.3750002,6.28275
0.02,26.58569995,202.9998076,0.5857,9.203850001,87.47500002,380.2500003,6.28258
0.02,26.76977689,202.9996589,0.769777,10.95335,95.08000003,380.5000001,6.282379
0.02,26.98884378,202.9994317,0.988844,12.85495,102.69,380.1248749,6.28215
0.02,27.24594256,202.999099,1.245943,14.90875,110.2924975,380.3752496,6.281893
0.02,27.54411719,202.998629,1.544118,17.11459995,117.9000025,380.374874,6.281611
0.02,27.88640859,202.997986,1.88641,19.4726,125.5075,190.2499991,6.281309
0.02,28.27585965,202.9971315,2.275862,21.98275,129.3125,-0.250001302,6.280993
0.02,28.71551326,202.9960266,2.715517,24.569,129.3075,0.249999291,6.280674
0.02,29.2068913,202.9946386,3.206897,27.15515,129.3124999,-0.250000008,6.280362
0.02,29.74999167,202.9929476,3.75,29.7414,129.3074999,0.250000933,6.280073
0.02,30.3448163,202.9909472,4.344828,32.32755,129.3125,-0.124998708,6.279823
0.02,30.99136322,202.9886489,4.991379,34.9138,129.31,7.95993E-08,6.279631
0.02,31.68963452,202.9860873,5.689655,37.5,129.31,0.124995602,6.279517
0.02,32.43962944,202.9833256,6.439655,40.0862,129.3124999,-0.250014254,6.279503
0.02,33.24134831,202.9804591,7.241379,42.67245,129.3074996,0.25009104,6.27961
0.02,34.09479261,202.9776249,8.094828,45.25859999,129.3125014,-0.250065989,6.279865
0.02,34.99996081,202.9750046,9,47.84485002,129.3075001,0.249504018,6.280292
0.02,35.95685535,202.9728349,9.956897,50.43100002,129.3124902,-190.2489817,6.280921
0.02,36.96547435,202.9714119,10.965517,53.01724983,125.5075106,-380.3747278,6.28178
0.02,38.0258193,202.9711021,12.025862,55.52740004,117.900016,-380.3769664,6.282902
0.02,39.13636661,202.972342,13.13641,57.88540036,110.2924767,-380.1231039,0.00113
0.02,40.29406993,202.9756374,14.294118,60.09124989,102.6900146,-380.5007992,0.002866
0.02,41.49588036,202.9815538,15.495943,62.14505018,95.07999862,-380.2497677,0.00495
0.02,42.73874759,202.9907171,16.73884401,64.04665016,87.47500327,-380.3750398,0.007409
0.02,44.01961371,203.0038069,18.01977701,65.79615022,79.86750247,-380.2490452,0.010267
0.02,45.33541709,203.02155,19.33570001,67.39350027,72.26252157,-380.3755605,0.013545
0.02,46.68308802,203.0447147,20.68357002,68.8387507,64.65501036,-380.3745899,0.017264
0.02,48.05954938,203.0741011,22.06034503,70.13185091,57.04751856,-380.2485876,0.021441
0.02,49.46171327,203.1105297,23.46298205,71.27280128,49.44254681,-380.2512363,0.02609
0.02,50.88648068,203.1548319,24.88843808,72.26165222,41.83752208,-380.4976216,0.031223
0.02,52.33074136,203.2078381,26.33367112,73.09840266,34.22756965,-380.2515302,0.036849
0.02,53.79137185,203.2703615,27.79563917,73.78295405,26.62253905,-380.2476097,0.042972
0.02,55.26523289,203.3431855,29.27129826,74.31540483,19.01758685,-380.3749242,0.049593
0.02,56.74917296,203.4270523,30.75760635,74.69575657,11.41008837,-380.3734917,0.056712
0.02,58.24002661,203.5226442,32.25152148,74.92395834,3.802618534,-190.1248457,0.064322
0.02,59.73461429,203.6305677,33.75000065,75.00001071,0.00012162,-0.000400081,0.072412
0.02,61.22974452,203.7513412,35.25000086,75.00001314,0.000113618,0.004513006,0.080969
0.02,62.72373081,203.8855267,36.75000113,75.00001541,0.000203878,-0.001637603,0.089983
0.02,64.21638582,204.0337898,38.25000144,75.00001949,0.000171126,0.002081213,0.099452
0.02,65.70750356,204.19679,39.75000183,75.00002291,0.00021275,0.000913087,0.109374
0.02,67.19685886,204.3751777,41.25000228,75.00002717,0.000231012,0.002283319,0.119745
0.02,68.68420689,204.5695934,42.75000283,75.00003179,0.000276679,0.001555652,0.130561
0.02,70.16928274,204.7806659,44.25000346,75.00003732,0.000307792,-6.81473E-05,0.141817
0.02,71.65180123,205.0090104,45.75000421,75.00004348,0.000306429,0.000807291,0.153507
0.02,73.13145738,205.2552222,47.25000508,75.0000496,0.000322574,0.004473063,0.165621
0.02,74.60792566,205.5198812,48.75000607,75.00005606,0.000412036,-0.00225377,0.178153
0.02,76.0808611,205.803544,50.25000719,75.0000643,0.00036696,0.00175826,0.191091
0.02,77.54989928,206.1067447,51.75000848,75.00007164,0.000402126,0.001106833,0.204425
0.02,79.01465756,206.4299899,53.25000991,75.00007968,0.000424262,0.000513628,0.218141
0.02,80.47473587,206.7737575,54.7500115,75.00008816,0.000434535,0.000678641,0.232225
0.02,81.92971807,207.1384931,56.25001327,75.00009685,0.000448108,-0.000752287,0.246661
0.02,83.37917361,207.5246076,57.7500152,75.00010582,0.000433062,0.000882042,0.261431
0.02,84.82265858,207.9324771,59.25001732,75.00011448,0.000450703,-0.311575941,0.276518
0.02,86.25971832,208.3624378,60.75001961,75.00012349,-0.005780816,0.270009499,0.291901
0.02,87.68988932,208.8147853,62.25002208,75.00000788,-0.000380626,0.018362384,0.307559
0.02,89.11596394,209.2798785,63.75002224,75.00000026,-1.33785E-05,-0.000362907,0.31558
0.02,90.54248587,209.7435974,65.25002224,75,-2.06366E-05,0.003226249,0.314303
0.02,91.96884791,210.2078078,66.75002224,74.99999958,4.38883E-05,0.000894563,0.31464
0.02,93.39430926,210.6747767,68.25002223,75.00000046,6.17796E-05,0.002443743,0.316593
0.02,94.81811509,211.1467693,69.75002224,75.0000017,0.000110654,0.009347401,0.320164
0.02,96.23948567,211.6260455,71.25002228,75.00000391,0.000297602,0.012840786,0.325355
0.02,97.65760335,212.114863,72.75002236,75.00000986,0.000554418,0.014007083,0.332173
0.02,99.07160243,212.6154698,74.25002255,75.00002095,0.00083456,0.024988916,0.340623
0.02,100.4805588,213.130099,75.75002297,75.00003764,0.001334338,0.031431332,0.350709
0.02,101.8834787,213.6609643,77.25002372,75.00006433,0.001962965,0.037592567,0.362436
0.02,103.2792905,214.2102486,78.75002501,75.00010359,0.002714816,0.046825484,0.375804
0.02,104.6668356,214.7800949,80.25002708,75.00015788,0.003651326,0.055508753,0.390811
0.02,106.0448634,215.3725887,81.75003024,75.00023091,0.004761501,0.057965005,0.407446
0.02,107.4120256,215.9897447,83.25003486,75.00032614,0.005920801,0.066197398,0.425694
0.02,108.7668767,216.6334823,84.75004138,75.00044456,0.007244749,0.059039508,0.445525
0.02,110.1078738,217.3056083,86.25005027,75.00058945,0.008425539,0.057733256,0.466903
0.02,111.4333834,218.0077904,87.75006206,75.00075796,0.009580204,-2.087863681,0.489775
0.02,112.7416926,218.741529,89.25007722,75.00094957,-0.032177069,-92.82081599,0.514071
