dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.000000,205.000000,0.001527,0.152703,7.635140,381.757005,0.000000
0.020000,30.000000,205.000000,0.007635,0.458108,15.270280,381.757005,0.000000
0.020000,30.000000,205.000000,0.021378,0.916217,22.905420,381.757005,0.000000
0.020000,30.000000,205.000000,0.045811,1.527028,30.540560,381.757005,0.000000
0.020000,30.003987,205.000000,0.083987,2.290542,38.175701,381.757005,0.000000
0.020000,30.058960,205.000000,0.138960,3.206759,45.810841,381.757005,0.000000
0.020000,30.133784,205.000000,0.213784,4.275678,53.445981,381.757005,0.000000
0.020000,30.231514,205.000000,0.311514,5.497301,61.081121,381.757005,0.000000
0.020000,30.355203,205.000000,0.435203,6.871626,68.716261,381.757005,0.000000
0.020000,30.507906,205.000000,0.587906,8.398654,76.351401,381.757005,0.000000
0.020000,30.692676,205.000000,0.772676,10.078385,83.986541,381.757005,0.000000
0.020000,30.912568,205.000000,0.992568,11.910819,91.621681,381.757005,0.000000
0.020000,31.170636,205.000000,1.250636,13.895955,99.256821,381.757005,0.000000
0.020000,31.469933,205.000000,1.549933,16.033794,106.891962,381.757005,0.000000
0.020000,31.813515,205.000000,1.893515,18.324336,114.527102,381.757005,0.000000
0.020000,32.204434,205.000000,2.284434,20.767581,122.162242,381.757005,0.000000
0.020000,32.645745,205.000000,2.725745,23.363529,129.797382,381.757005,0.000000
0.020000,33.138975,205.000000,3.218975,25.959476,129.797382,-0.000000,0.000000
0.020000,33.684124,205.000000,3.764124,28.555424,129.797382,0.000000,0.000000
0.020000,34.281192,205.000000,4.361192,31.151372,129.797382,0.000000,0.000000
0.020000,34.930179,205.000000,5.010179,33.747319,129.797382,0.000000,0.000000
0.020000,35.631085,205.000000,5.711085,36.343267,129.797382,-0.000000,0.000000
0.020000,36.383910,205.000000,6.463910,38.939215,129.797382,0.000000,0.000000
0.020000,37.188653,205.000000,7.268653,41.535162,129.797382,0.000000,0.000000
0.020000,38.045316,205.000000,8.125316,44.131110,129.797382,0.000000,0.000000
0.020000,38.953898,205.000000,9.033898,46.727057,129.797382,0.000000,0.000000
0.020000,39.914398,205.000000,9.994398,49.323005,129.797382,-0.000000,0.000000
0.020000,40.926818,205.000000,11.006818,51.918953,129.797382,0.000000,0.000000
0.020000,41.991157,205.000000,12.071157,54.514900,129.797382,0.000000,0.000000
0.020000,43.107414,205.000000,13.187414,57.110848,129.797382,0.000000,0.000000
0.020000,44.275590,205.000000,14.355590,59.706796,129.797382,0.000000,0.000000
0.020000,45.495686,205.000000,15.575686,62.302743,129.797382,0.000000,0.000000
0.020000,46.766173,205.000000,16.846173,64.745988,122.162242,-381.757005,0.000000
0.020000,48.083998,205.000000,18.163998,67.036530,114.527102,-381.757005,0.000000
0.020000,49.446107,205.000000,19.526107,69.174369,106.891962,-381.757005,0.000000
0.020000,50.849446,205.000000,20.929446,71.159506,99.256821,-381.757005,0.000000
0.020000,52.290961,205.000000,22.370961,72.991939,91.621681,-381.757005,0.000000
0.020000,53.767597,205.000000,23.847597,74.671670,83.986541,-381.757005,0.000000
0.020000,55.276300,205.000000,25.356300,76.198698,76.351401,-381.757005,0.000000
0.020000,56.814018,205.000000,26.894018,77.573024,68.716261,-381.757005,0.000000
0.020000,58.377694,205.000000,28.457694,78.794646,61.081121,-381.757005,0.000000
0.020000,59.964276,205.000000,30.044276,79.863566,53.445981,-381.757005,0.000000
0.020000,61.570710,205.000000,31.650710,80.779782,45.810841,-381.757005,0.000000
0.020000,63.193941,205.000000,33.273941,81.543296,38.175701,-381.757005,0.000000
0.020000,64.830915,205.000000,34.910915,82.154108,30.540560,-381.757005,0.000000
0.020000,66.478578,205.000000,36.558578,82.612216,22.905420,-381.757005,0.000000
0.020000,68.133876,205.000000,38.213876,82.917622,15.270280,-381.757005,0.000000
0.020000,69.793756,205.000000,39.873756,83.070324,7.635140,-381.757005,0.000000
0.020000,71.453941,205.000000,41.533941,82.948181,-6.107159,-687.114980,0.000000
0.020000,73.110156,205.000000,43.190156,82.673335,-13.742300,-381.757005,0.000000
0.020000,74.759347,205.000000,44.839347,82.245786,-21.377440,-381.757005,0.000000
0.020000,76.398460,205.000000,46.478460,81.665535,-29.012580,-381.757005,0.000000
0.020000,78.024442,205.000000,48.104442,80.932580,-36.647720,-381.757005,0.000000
0.020000,79.634237,205.000000,49.714237,80.046923,-44.282860,-381.757005,0.000000
0.020000,81.224791,205.000000,51.304791,79.008563,-51.918000,-381.757005,0.000000
0.020000,82.793052,205.000000,52.873052,77.817500,-59.553140,-381.757005,0.000000
0.020000,84.335964,205.000000,54.415964,76.473735,-67.188280,-381.757005,0.000000
0.020000,85.850474,205.000000,55.930474,74.977266,-74.823420,-381.757005,0.000000
0.020000,87.333528,205.000000,57.413528,73.328095,-82.458561,-381.757005,0.000000
0.020000,88.782071,205.000000,58.862071,71.526221,-90.093701,-381.757005,0.000000
0.020000,90.193050,205.000000,60.273050,69.571644,-97.728841,-381.757005,0.000000
0.020000,91.563410,205.000000,61.643410,67.464365,-105.363981,-381.757005,0.000000
0.020000,92.890097,205.000000,62.970097,65.204382,-112.999121,-381.757005,0.000000
0.020000,94.170058,205.000000,64.250058,62.791697,-120.634261,-381.757005,0.000000
0.020000,95.400238,205.000000,65.480238,60.226309,-128.269401,-381.757005,0.000000
0.020000,96.578805,205.000000,66.658805,57.630361,-129.797382,-76.399031,0.000000
0.020000,97.705453,205.000000,67.785453,55.034414,-129.797382,0.000000,0.000000
0.020000,98.780182,205.000000,68.860182,52.438466,-129.797382,0.000000,0.000000
0.020000,99.802991,205.000000,69.882991,49.842519,-129.797382,0.000000,0.000000
0.020000,100.773882,205.000000,70.853882,47.246571,-129.797382,0.000000,0.000000
0.020000,101.692854,205.000000,71.772854,44.650623,-129.797382,-0.000000,0.000000
0.020000,102.559907,205.000000,72.639907,42.054676,-129.797382,0.000000,0.000000
0.020000,103.375041,205.000000,73.455041,39.458728,-129.797382,0.000000,0.000000
0.020000,104.138256,205.000000,74.218256,36.862780,-129.797382,0.000000,0.000000
0.020000,104.849552,205.000000,74.929552,34.266833,-129.797382,0.000000,0.000000
0.020000,105.508930,205.000000,75.588930,31.670885,-129.797382,-0.000000,0.000000
0.020000,106.116388,205.000000,76.196388,29.074937,-129.797382,0.000000,0.000000
0.020000,106.671927,205.000000,76.751927,26.478990,-129.797382,-0.000000,0.000000
0.020000,107.175547,205.000000,77.255547,23.883042,-129.797382,0.000000,0.000000
0.020000,107.627249,205.000000,77.707249,21.287095,-129.797382,-0.000000,0.000000
0.020000,108.028253,205.000000,78.108253,18.813290,-123.690222,305.357974,0.000000
0.020000,108.381307,205.000000,78.461307,16.492188,-116.055082,381.757005,0.000000
0.020000,108.689467,205.000000,78.769467,14.323790,-108.419942,381.757005,0.000000
0.020000,108.955786,205.000000,79.035786,12.308094,-100.784802,381.757005,0.000000
0.020000,109.183318,205.000000,79.263318,10.445100,-93.149662,381.757005,0.000000
0.020000,109.375117,205.000000,79.455117,8.734810,-85.514522,381.757005,0.000000
0.020000,109.534237,205.000000,79.614237,7.177222,-77.879382,381.757005,0.000000
0.020000,109.663733,205.000000,79.743733,5.772337,-70.244242,381.757005,0.000000
0.020000,109.766658,205.000000,79.846658,4.520155,-62.609102,381.757005,0.000000
0.020000,109.846066,205.000000,79.926066,3.420676,-54.973961,381.757005,0.000000
0.020000,109.905012,205.000000,79.985012,2.473900,-47.338821,381.757005,0.000000
0.020000,109.946549,205.000000,80.026549,1.679826,-39.703681,381.757005,0.000000
0.020000,109.973732,205.000000,80.053732,1.038455,-32.068541,381.757005,0.000000
0.020000,109.989614,205.000000,80.069614,0.549787,-24.433401,381.757005,0.000000
0.020000,109.997251,205.000000,80.077251,0.213822,-16.798261,381.757005,0.000000
0.020000,109.999694,205.000000,80.079694,0.030560,-9.163121,381.757005,0.000000
0.020000,110.000000,205.000000,80.080000,0.000000,-1.527981,381.757005,0.000000
0.020000,110.000000,205.000000,80.080000,0.000000,0.000000,76.399031,0.000000
