dt,x,y,position,velocity,acceleration,jerk,heading
0.02,288.9204151,266.1483049,0,0.07355,9.865,354.6250001,3.506193
0.02,288.9190408,266.1477803,0.001471,0.27085,16.9575,337.7500004,3.506193
0.02,288.9139799,266.1458486,0.006888,0.61,23.71250001,337.3750013,3.506224
0.02,288.9025823,266.1414972,0.019088,1.08425,30.46000004,345.5000027,3.506293
0.02,288.8823245,266.1337602,0.040773,1.693450001,37.37000009,335.3750059,3.506416
0.02,288.850687,266.1216699,0.074642,2.440850003,44.07750021,345.5000101,3.506609
0.02,288.8050912,266.1042309,0.123459,3.322400007,50.98750041,345.0000162,3.506884
0.02,288.7430367,266.0804701,0.189907,4.342150015,57.88750073,341.2500259,3.507258
0.02,288.6619509,266.0493766,0.276750001,5.49990003,64.71250125,353.0000339,3.507743
0.02,288.5592694,266.0099297,0.386748001,6.794150055,71.77250193,352.2500456,3.508351
0.02,288.4324611,265.9611049,0.522631002,8.229600093,78.81750284,353.0000596,3.509096
0.02,288.2789142,265.9018269,0.687223004,9.80595015,85.87750403,363.625065,3.509986
0.02,288.0960301,265.8310027,0.883342007,11.52350023,93.15000533,367.750071,3.511029
0.02,287.881214,265.7475135,1.113812012,13.38650034,100.5050068,369.6250763,3.512233
0.02,287.6318019,265.6501843,1.381542018,15.39660047,107.8975083,380.6250622,3.5136
0.02,287.3451106,265.5378001,1.689474028,17.55455064,115.5100095,217.6250146,3.51513
0.02,287.0184551,265.4091102,2.040565041,19.86475083,119.8625098,48.74995702,3.516822
0.02,286.6490814,265.2628009,2.437860057,22.26200103,120.837509,54.37491132,3.518669
0.02,286.2354587,265.0980135,2.883100078,24.6787512,121.9250072,58.12487364,3.520653
0.02,285.7773171,264.9143764,3.376675102,27.11725135,123.0875047,67.49982978,3.522748
0.02,285.2743469,264.7114993,3.919020129,29.57900144,124.4375013,-108.8751947,3.524925
0.02,284.72621,264.4889843,4.510600158,32.06775147,122.2599974,-279.3752114,3.527153
0.02,284.132495,264.2464173,5.151955187,34.51295141,116.6724931,-283.3751595,3.529396
0.02,283.4940878,263.983941,5.842214215,36.84640128,111.0049899,-283.375098,3.531614
0.02,282.8131184,263.702261,6.579142241,39.06650107,105.337488,-294.2500081,3.53376
0.02,282.091724,263.40215,7.360472262,41.17325083,99.45248782,-289.2499508,3.535789
0.02,281.332016,263.0844418,8.183937279,43.16230059,93.6674888,-299.7498822,3.537656
0.02,280.5361606,262.750065,9.047183291,45.03565037,87.67249116,-304.2498511,3.539322
0.02,279.7062579,262.4000002,9.947896298,46.78910019,81.58749414,-313.1248511,3.540745
0.02,278.8444574,262.0353251,10.8836783,48.42085007,75.32499711,-313.1248919,3.541889
0.02,277.952914,261.6571957,11.8520953,49.92735001,69.06249928,-324.8749708,3.54272
0.02,277.0338218,261.2668554,12.8506423,51.3086,62.56499986,-329.7500883,3.543209
0.02,276.0893493,260.8656065,13.8768143,52.5599,55.96999809,-341.7502344,3.543327
0.02,275.1217301,260.4548386,14.9280123,53.67929996,49.1349934,-344.8754017,3.543051
0.02,274.1332148,260.0360016,16.0015983,54.66199983,42.23748537,-354.6255736,3.542361
0.02,273.1261289,259.6106173,17.0948383,55.50674953,35.1449739,-362.125738,3.541243
0.02,272.1028111,259.180245,18.20497329,56.20964901,27.90245914,-371.2508724,3.539685
0.02,271.0656675,258.7464905,19.32916627,56.7676982,20.47744169,-187.6260111,3.53768
0.02,270.0171605,258.3109889,20.46452023,57.17724703,16.72492147,1.873817752,3.535225
0.02,268.9598268,257.8753966,21.60806517,57.51174546,16.76239782,1.873663676,3.532322
0.02,267.894854,257.4408012,22.75830008,57.84699342,16.7998711,5.62347117,3.528973
0.02,266.8220304,257.00772,23.91523995,58.18299084,16.91234052,-0.001635161,3.525177
0.02,265.7411462,256.5766822,25.07889977,58.52123765,16.91230782,1.873195039,3.520933
0.02,264.6519656,256.1482202,26.24932452,58.8594838,16.94977172,5.622978025,3.516238
0.02,263.5542982,255.7228946,27.4265142,59.19847924,17.06223128,1.872869363,3.511092
0.02,262.4479441,255.3012732,28.61048378,59.53972386,17.09968866,-1.877202106,3.505494
0.02,261.3326796,254.8839285,29.80127826,59.88171764,17.06214462,5.622487758,3.499441
0.02,260.208315,254.4714576,30.99891261,60.22296053,17.17459438,-1.877487888,3.492932
0.02,259.0746966,254.0644792,32.20337182,60.56645242,17.13704462,-0.002664501,3.485968
0.02,257.9316217,253.6636078,33.41470087,60.90919331,17.13699133,-1.877732561,3.478546
0.02,256.7789539,253.2694902,34.63288474,61.25193314,17.09943668,-0.002915415,3.470667
0.02,255.616553,252.882781,35.8579234,61.59392187,17.09937837,-3.752887199,3.462331
0.02,254.4443056,252.5041514,37.08980184,61.93590944,17.02432063,-5.62788607,3.453539
0.02,253.2620963,252.1342811,38.32852003,62.27639585,16.9117629,-5.627943632,3.444291
0.02,252.0698534,251.7738692,39.57404794,62.61463111,16.79920403,-11.25269561,3.434589
0.02,250.8675357,251.4236281,40.82634057,62.95061519,16.57415012,-5.627995489,3.424436
0.02,249.6551193,251.0842782,42.08535287,63.28209819,16.46159021,-15.00245839,3.413835
0.02,248.4326432,250.7565561,43.35099483,63.61132999,16.16154104,-13.12749696,3.402792
0.02,247.2001228,250.4411926,44.62322143,63.93456082,15.8989911,-16.87716616,3.39131
0.02,245.9576683,250.1389379,45.90191265,64.25254064,15.56144778,-20.62676489,3.379397
0.02,244.7053981,249.850537,47.18696346,64.56376959,15.14891248,-22.50144008,3.36706
0.02,243.4434845,249.5767376,48.47823885,64.86674784,14.69888368,-22.5012321,3.354308
0.02,242.1721544,249.3182851,49.77557381,65.16072552,14.24885904,-28.12553461,3.341152
0.02,240.891676,249.0759152,51.07878832,65.4457027,13.68634835,-30.00008223,3.327604
0.02,239.6023443,248.8503496,52.38770238,65.71942966,13.0863467,-33.74942535,3.313676
0.02,238.3045261,248.6422984,53.70209097,65.9811566,12.41135819,-37.49871663,3.299383
0.02,236.9986308,248.4524497,55.0217141,66.22938376,11.66138386,-33.74872128,3.284741
0.02,235.6851249,248.2814672,56.34630178,66.46261144,10.98640944,-43.12242057,3.269768
0.02,234.3645325,248.129984,57.675554,66.68233963,10.12396103,-44.99682179,3.254484
0.02,233.0373737,247.9985947,59.0092008,66.88481885,9.224024589,-43.12164046,3.238907
0.02,231.7042685,247.8878596,60.34689717,67.06929934,8.36159178,-46.87087595,3.22306
0.02,230.3658762,247.7982917,61.68828316,67.23653118,7.424174261,-48.74532354,3.206967
0.02,229.0228629,247.7303538,63.03301378,67.38501466,6.44926779,-2386.615877,3.190651
0.02,227.6759443,247.6844574,64.38071408,67.51400002,-41.28304976,-19471.09073,3.174137
