dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,283.571776,280.162300,0.001471,0.147059,7.352941,367.647059,3.506193
0.020000,283.571776,280.162300,0.007353,0.441176,14.705882,367.647059,3.506224
0.020000,283.571776,280.162300,0.020588,0.882353,22.058824,367.647059,3.506293
0.020000,283.571776,280.162300,0.044118,1.470588,29.411765,367.647059,3.506416
0.020000,283.553387,280.155273,0.080882,2.205882,36.764706,367.647059,3.506609
0.020000,283.503936,280.136368,0.133824,3.088235,44.117647,367.647059,3.506884
0.020000,283.436636,280.110615,0.205882,4.117647,51.470588,367.647059,3.507258
0.020000,283.348749,280.076940,0.300000,5.294118,58.823529,367.647059,3.507743
0.020000,283.237541,280.034259,0.419118,6.617647,66.176471,367.647059,3.508351
0.020000,283.100282,279.981474,0.566176,8.088235,73.529412,367.647059,3.509096
0.020000,282.934251,279.917468,0.744118,9.705882,80.882353,367.647059,3.509986
0.020000,282.736734,279.841105,0.955882,11.470588,88.235294,367.647059,3.511029
0.020000,282.505027,279.751223,1.204412,13.382353,95.588235,367.647059,3.512233
0.020000,282.236436,279.646636,1.492647,15.441176,102.941176,367.647059,3.513600
0.020000,281.928278,279.526128,1.823529,17.647059,110.294118,367.647059,3.515130
0.020000,281.577885,279.388452,2.200000,20.000000,117.647059,367.647059,3.516822
0.020000,281.182600,279.232328,2.625000,22.500000,125.000000,367.647059,3.518669
0.020000,280.741146,279.056991,3.100000,25.000000,125.000000,0.000000,3.520653
0.020000,280.253620,278.862201,3.625000,27.500000,125.000000,-0.000000,3.522748
0.020000,279.720120,278.647719,4.200000,30.000000,125.000000,0.000000,3.524925
0.020000,279.140744,278.413308,4.825000,32.500000,125.000000,-0.000000,3.527153
0.020000,278.515586,278.158745,5.500000,35.000000,125.000000,0.000000,3.529396
0.020000,277.846093,277.884385,6.223529,37.352941,117.647059,-367.647059,3.531614
0.020000,277.135055,277.591184,6.992647,39.558824,110.294118,-367.647059,3.533760
0.020000,276.385238,277.280158,7.804412,41.617647,102.941176,-367.647059,3.535789
0.020000,275.599384,276.952386,8.655882,43.529412,95.588235,-367.647059,3.537656
0.020000,274.780204,276.609012,9.544118,45.294118,88.235294,-367.647059,3.539322
0.020000,273.930382,276.251248,10.466176,46.911765,80.882353,-367.647059,3.540745
0.020000,273.052573,275.880373,11.419118,48.382353,73.529412,-367.647059,3.541889
0.020000,272.149403,275.497730,12.400000,49.705882,66.176471,-367.647059,3.542720
0.020000,271.223475,275.104722,13.405882,50.882353,58.823529,-367.647059,3.543209
0.020000,270.277363,274.702807,14.433824,51.911765,51.470588,-367.647059,3.543327
0.020000,269.313624,274.293492,15.480882,52.794118,44.117647,-367.647059,3.543051
0.020000,268.334795,273.878325,16.544118,53.529412,36.764706,-367.647059,3.542361
0.020000,267.343402,273.458885,17.620588,54.117647,29.411765,-367.647059,3.541243
0.020000,266.341964,273.036773,18.707353,54.558824,22.058824,-367.647059,3.539685
0.020000,265.332995,272.613601,19.801471,54.852941,14.705882,-367.647059,3.537680
0.020000,264.319013,272.190983,20.900000,55.000000,7.352941,-367.647059,3.535225
0.020000,263.302543,271.770521,22.000000,55.000000,0.000000,-367.647059,3.532322
0.020000,262.284764,271.353238,23.100000,55.000000,0.000000,0.000000,3.528973
0.020000,261.265501,270.939593,24.200000,55.000000,0.000000,0.000000,3.525177
0.020000,260.244584,270.530049,25.300000,55.000000,0.000000,0.000000,3.520933
0.020000,259.221847,270.125072,26.400000,55.000000,0.000000,0.000000,3.516238
0.020000,258.197130,269.725132,27.500000,55.000000,0.000000,0.000000,3.511092
0.020000,257.170279,269.330703,28.600000,55.000000,0.000000,0.000000,3.505494
0.020000,256.141148,268.942263,29.700000,55.000000,0.000000,0.000000,3.499441
0.020000,255.109598,268.560294,30.800000,55.000000,0.000000,0.000000,3.492932
0.020000,254.075499,268.185282,31.900000,55.000000,0.000000,0.000000,3.485968
0.020000,253.038729,267.817719,33.000000,55.000000,0.000000,0.000000,3.478546
0.020000,251.999178,267.458098,34.100000,55.000000,0.000000,0.000000,3.470667
0.020000,250.956746,267.106917,35.200000,55.000000,0.000000,0.000000,3.462331
0.020000,249.911345,266.764676,36.300000,55.000000,0.000000,0.000000,3.453539
0.020000,248.862899,266.431880,37.400000,55.000000,0.000000,0.000000,3.444291
0.020000,247.811348,266.109033,38.500000,55.000000,0.000000,0.000000,3.434589
0.020000,246.756644,265.796640,39.600000,55.000000,0.000000,0.000000,3.424436
0.020000,245.698755,265.495210,40.700000,55.000000,0.000000,0.000000,3.413835
0.020000,244.637667,265.205246,41.800000,55.000000,0.000000,0.000000,3.402792
0.020000,243.573381,264.927251,42.900000,55.000000,0.000000,0.000000,3.391310
0.020000,242.505916,264.661726,44.000000,55.000000,0.000000,0.000000,3.379397
0.020000,241.435310,264.409163,45.100000,55.000000,0.000000,0.000000,3.367060
0.020000,240.361621,264.170051,46.200000,55.000000,0.000000,0.000000,3.354308
0.020000,239.284924,263.944868,47.300000,55.000000,0.000000,0.000000,3.341152
0.020000,238.205318,263.734082,48.400000,55.000000,0.000000,0.000000,3.327604
0.020000,237.122917,263.538148,49.500000,55.000000,0.000000,0.000000,3.313676
0.020000,236.037860,263.357509,50.600000,55.000000,0.000000,0.000000,3.299383
0.020000,234.950304,263.192587,51.700000,55.000000,0.000000,0.000000,3.284741
0.020000,233.860426,263.043788,52.800000,55.000000,0.000000,0.000000,3.269768
0.020000,232.768421,262.911496,53.900000,55.000000,0.000000,0.000000,3.254484
0.020000,231.674504,262.796071,55.000000,55.000000,0.000000,0.000000,3.238907
0.020000,230.578910,262.697850,56.100000,55.000000,0.000000,0.000000,3.223060
0.020000,229.481888,262.617138,57.200000,55.000000,0.000000,0.000000,3.206967
0.020000,228.383700,262.554216,58.300000,55.000000,0.000000,0.000000,3.190651
0.020000,227.284630,262.509331,59.400000,55.000000,0.000000,0.000000,3.174137
0.020000,226.184966,262.482698,60.500000,55.000000,0.000000,0.000000,3.157451
0.020000,225.148331,262.474468,61.600000,55.000000,0.000000,0.000000,3.141866
0.020000,224.121418,262.476435,62.700000,55.000000,0.000000,0.000000,3.137767
0.020000,223.021438,262.482881,63.800000,55.000000,0.000000,0.000000,3.133704
0.020000,221.921493,262.493777,64.900000,55.000000,0.000000,0.000000,3.129676
0.020000,220.821600,262.509083,66.000000,55.000000,0.000000,0.000000,3.125686
0.020000,219.721777,262.528757,67.100000,55.000000,0.000000,0.000000,3.121732
0.020000,218.622040,262.552760,68.200000,55.000000,0.000000,0.000000,3.117815
0.020000,217.522405,262.581048,69.300000,55.000000,0.000000,0.000000,3.113937
0.020000,216.422887,262.613581,70.400000,55.000000,0.000000,0.000000,3.110096
0.020000,215.323501,262.650316,71.500000,55.000000,0.000000,0.000000,3.106293
0.020000,214.224262,262.691209,72.600000,55.000000,0.000000,0.000000,3.102530
0.020000,213.125183,262.736217,73.700000,55.000000,0.000000,0.000000,3.098806
0.020000,212.026279,262.785297,74.800000,55.000000,0.000000,0.000000,3.095120
0.020000,210.927563,262.838405,75.900000,55.000000,0.000000,0.000000,3.091475
0.020000,209.829046,262.895495,77.000000,55.000000,0.000000,0.000000,3.087870
0.020000,208.730741,262.956523,78.100000,55.000000,0.000000,0.000000,3.084305
0.020000,207.632660,263.021443,79.200000,55.000000,0.000000,0.000000,3.080781
0.020000,206.534812,263.090211,80.300000,55.000000,0.000000,0.000000,3.077297
0.020000,205.437208,263.162781,81.400000,55.000000,0.000000,0.000000,3.073855
0.020000,204.339860,263.239105,82.500000,55.000000,0.000000,0.000000,3.070454
0.020000,203.242776,263.319139,83.600000,55.000000,0.000000,0.000000,3.067094
0.020000,202.145965,263.402835,84.700000,55.000000,0.000000,0.000000,3.063777
0.020000,201.049436,263.490146,85.800000,55.000000,0.000000,0.000000,3.060501
0.020000,199.953198,263.581025,86.900000,55.000000,0.000000,0.000000,3.057267
0.020000,198.857256,263.675426,88.000000,55.000000,0.000000,0.000000,3.054076
0.020000,197.761620,263.773299,89.100000,55.000000,0.000000,0.000000,3.050928
0.020000,196.666294,263.874599,90.200000,55.000000,0.000000,0.000000,3.047822
0.020000,195.571287,263.979276,91.300000,55.000000,0.000000,0.000000,3.044760
0.020000,194.476602,264.087283,92.400000,55.000000,0.000000,0.000000,3.041740
0.020000,193.382247,264.198571,93.500000,55.000000,0.000000,0.000000,3.038764
0.020000,192.288225,264.313092,94.600000,55.000000,0.000000,0.000000,3.035830
0.020000,191.194541,264.430798,95.700000,55.000000,0.000000,0.000000,3.032941
0.020000,190.101199,264.551640,96.800000,55.000000,0.000000,0.000000,3.030095
0.020000,189.008203,264.675569,97.900000,55.000000,0.000000,0.000000,3.027293
0.020000,187.915556,264.802536,99.000000,55.000000,0.000000,0.000000,3.024534
0.020000,186.823260,264.932493,100.100000,55.000000,0.000000,0.000000,3.021820
0.020000,185.731317,265.065390,101.200000,55.000000,0.000000,0.000000,3.019150
0.020000,184.639731,265.201178,102.300000,55.000000,0.000000,0.000000,3.016524
0.020000,183.548502,265.339808,103.400000,55.000000,0.000000,0.000000,3.013942
0.020000,182.457631,265.481232,104.500000,55.000000,0.000000,0.000000,3.011404
0.020000,181.367120,265.625399,105.600000,55.000000,0.000000,0.000000,3.008911
0.020000,180.276968,265.772260,106.700000,55.000000,0.000000,0.000000,3.006462
0.020000,179.187176,265.921766,107.800000,55.000000,0.000000,0.000000,3.004057
0.020000,178.097743,266.073868,108.900000,55.000000,0.000000,0.000000,3.001698
0.020000,177.008668,266.228516,110.000000,55.000000,0.000000,0.000000,2.999382
0.020000,175.919951,266.385661,111.100000,55.000000,0.000000,0.000000,2.997112
0.020000,174.831590,266.545253,112.200000,55.000000,0.000000,0.000000,2.994886
0.020000,173.743583,266.707243,113.300000,55.000000,0.000000,0.000000,2.992705
0.020000,172.655929,266.871581,114.400000,55.000000,0.000000,0.000000,2.990568
0.020000,171.568624,267.038219,115.500000,55.000000,0.000000,0.000000,2.988476
0.020000,170.481666,267.207106,116.600000,55.000000,0.000000,0.000000,2.986429
0.020000,169.395053,267.378193,117.700000,55.000000,0.000000,0.000000,2.984427
0.020000,168.308780,267.551431,118.800000,55.000000,0.000000,0.000000,2.982470
0.020000,167.222845,267.726771,119.900000,55.000000,0.000000,0.000000,2.980558
0.020000,166.137243,267.904162,121.000000,55.000000,0.000000,0.000000,2.978690
0.020000,165.051970,268.083557,122.100000,55.000000,0.000000,0.000000,2.976867
0.020000,163.967022,268.264905,123.200000,55.000000,0.000000,0.000000,2.975089
0.020000,162.882394,268.448157,124.300000,55.000000,0.000000,0.000000,2.973356
0.020000,161.798081,268.633265,125.400000,55.000000,0.000000,0.000000,2.971668
0.020000,160.714077,268.820178,126.500000,55.000000,0.000000,0.000000,2.970025
0.020000,159.630378,269.008848,127.600000,55.000000,0.000000,0.000000,2.968427
0.020000,158.546978,269.199226,128.700000,55.000000,0.000000,0.000000,2.966873
0.020000,157.463871,269.391262,129.800000,55.000000,0.000000,0.000000,2.965364
0.020000,156.381050,269.584908,130.900000,55.000000,0.000000,0.000000,2.963901
0.020000,155.298509,269.780114,132.000000,55.000000,0.000000,0.000000,2.962482
0.020000,154.216242,269.976832,133.100000,55.000000,0.000000,0.000000,2.961107
0.020000,153.134242,270.175013,134.200000,55.000000,0.000000,0.000000,2.959778
0.020000,152.052502,270.374608,135.300000,55.000000,0.000000,0.000000,2.958493
0.020000,150.971015,270.575569,136.400000,55.000000,0.000000,0.000000,2.957253
0.020000,149.889773,270.777845,137.500000,55.000000,0.000000,0.000000,2.956058
0.020000,148.808769,270.981390,138.600000,55.000000,0.000000,0.000000,2.954908
0.020000,147.727995,271.186154,139.700000,55.000000,0.000000,0.000000,2.953802
0.020000,146.647444,271.392088,140.800000,55.000000,0.000000,0.000000,2.952742
0.020000,145.567107,271.599145,141.900000,55.000000,0.000000,0.000000,2.951725
0.020000,144.486977,271.807275,143.000000,55.000000,0.000000,0.000000,2.950754
0.020000,143.407044,272.016430,144.100000,55.000000,0.000000,0.000000,2.949827
0.020000,142.327302,272.226562,145.200000,55.000000,0.000000,0.000000,2.948945
0.020000,141.247740,272.437622,146.300000,55.000000,0.000000,0.000000,2.948108
0.020000,140.168350,272.649562,147.400000,55.000000,0.000000,0.000000,2.947315
0.020000,139.089125,272.862333,148.500000,55.000000,0.000000,0.000000,2.946566
0.020000,138.010054,273.075889,149.600000,55.000000,0.000000,0.000000,2.945863
0.020000,136.931129,273.290179,150.700000,55.000000,0.000000,0.000000,2.945204
0.020000,135.852340,273.505156,151.800000,55.000000,0.000000,0.000000,2.944589
0.020000,134.773679,273.720773,152.900000,55.000000,0.000000,0.000000,2.944019
0.020000,133.695136,273.936980,154.000000,55.000000,0.000000,0.000000,2.943494
0.020000,132.616702,274.153729,155.100000,55.000000,0.000000,0.000000,2.943013
0.020000,131.538368,274.370973,156.200000,55.000000,0.000000,0.000000,2.942577
0.020000,130.460124,274.588664,157.300000,55.000000,0.000000,0.000000,2.942185
0.020000,129.381960,274.806753,158.400000,55.000000,0.000000,0.000000,2.941837
0.020000,128.303867,275.025193,159.500000,55.000000,0.000000,0.000000,2.941535
0.020000,127.225836,275.243935,160.600000,55.000000,0.000000,0.000000,2.941276
0.020000,126.147856,275.462932,161.700000,55.000000,0.000000,0.000000,2.941062
0.020000,125.069918,275.682135,162.800000,55.000000,0.000000,0.000000,2.940893
0.020000,123.992013,275.901497,163.900000,55.000000,0.000000,0.000000,2.940768
0.020000,122.914130,276.120970,165.000000,55.000000,0.000000,0.000000,2.940688
0.020000,121.836259,276.340505,166.100000,55.000000,0.000000,0.000000,2.940652
0.020000,120.758392,276.560056,167.200000,55.000000,0.000000,0.000000,2.940660
0.020000,119.680518,276.779573,168.300000,55.000000,0.000000,0.000000,2.940713
0.020000,118.602628,276.999009,169.400000,55.000000,0.000000,0.000000,2.940810
0.020000,117.524711,277.218316,170.500000,55.000000,0.000000,0.000000,2.940952
0.020000,116.446758,277.437446,171.600000,55.000000,0.000000,0.000000,2.941139
0.020000,115.368760,277.656351,172.700000,55.000000,0.000000,0.000000,2.941370
0.020000,114.290706,277.874984,173.800000,55.000000,0.000000,0.000000,2.941645
0.020000,113.212587,278.093295,174.900000,55.000000,0.000000,0.000000,2.941965
0.020000,112.134478,278.311221,175.999914,54.991390,-0.430482,-21.524101,2.942329
0.020000,111.057896,278.528405,177.098185,54.835722,-7.783423,-367.647059,2.942737
0.020000,109.985714,278.744223,178.191872,54.532995,-15.136364,-367.647059,2.943188
0.020000,108.920808,278.958054,179.278034,54.083208,-22.489306,-367.647059,2.943679
0.020000,107.866056,279.169287,180.353730,53.486364,-29.842247,-367.647059,2.944208
0.020000,106.824336,279.377317,181.416018,52.742460,-37.195188,-367.647059,2.944772
0.020000,105.798530,279.581551,182.461958,51.851497,-44.548129,-367.647059,2.945368
0.020000,104.791520,279.781403,183.488607,50.813476,-51.901070,-367.647059,2.945993
0.020000,103.806192,279.976301,184.493026,49.628396,-59.254011,-367.647059,2.946641
0.020000,102.845433,280.165681,185.472273,48.296257,-66.606953,-367.647059,2.947309
0.020000,101.912132,280.348995,186.423406,46.817059,-73.959894,-367.647059,2.947992
0.020000,101.009181,280.525702,187.343484,45.190802,-81.312835,-367.647059,2.948684
0.020000,100.139476,280.695276,188.229567,43.417486,-88.665776,-367.647059,2.949380
0.020000,99.305912,280.857202,189.078713,41.497112,-96.018717,-367.647059,2.950074
