dt,x,y,position,velocity,acceleration,jerk,heading
0.02,278.2231369,294.1762951,0,0.07355,12.19,380.8749999,3.506193
0.02,278.2217626,294.1757706,0.001471,0.31735,19.8075,397.7499996,3.506193
0.02,278.2158329,294.1735073,0.007818,0.7135,27.76249999,397.3749989,3.506224
0.02,278.2025014,294.1684176,0.022088,1.26875,35.70999997,390.4999975,3.506293
0.02,278.1787964,294.1593643,0.047463,1.982949999,43.51999992,399.1249947,3.506416
0.02,278.1417501,294.1452077,0.087122,2.853349998,51.50249981,390.499991,3.506609
0.02,278.0884482,294.1248227,0.144189,3.883399994,59.31249963,389.9999855,3.506884
0.02,278.0159147,294.0970519,0.221857,5.069649987,67.11249934,393.7499769,3.507258
0.02,277.9212422,294.0607524,0.32325,6.411899973,74.98749888,382.9999695,3.507743
0.02,277.8015317,294.01477,0.451487999,7.911649951,82.64749827,382.2499589,3.508351
0.02,277.6538629,293.9579229,0.609720998,9.564599916,90.29249745,382.9999461,3.509096
0.02,277.475403,293.8890409,0.801012996,11.37044987,97.95249637,371.1249406,3.509986
0.02,277.2633342,293.8069334,1.028421994,13.32949979,105.3749952,367.7499345,3.511029
0.02,277.0148429,293.7103814,1.29501199,15.4369997,112.7299939,365.874929,3.512233
0.02,276.7272157,293.5981717,1.603751983,17.69159957,120.0474925,354.3749406,3.5136
0.02,276.3977767,293.4690708,1.957583975,20.09254942,127.1349913,150.1249827,3.51513
0.02,276.0238772,293.3218181,2.359434963,22.63524925,130.1374909,-48.74996526,3.516822
0.02,275.6029676,293.1551542,2.812139948,25.23799907,129.1624916,-54.37492336,3.518669
0.02,275.1340282,292.9683963,3.31689993,27.8212489,128.0749931,-58.1248878,3.520653
0.02,274.6175225,292.7614406,3.873324908,30.38274876,126.9124954,-67.49984594,3.522748
0.02,274.0539558,292.5342027,4.480979883,32.92099867,125.5624985,-258.8748203,3.524925
0.02,273.4438578,292.2866196,5.139399856,35.43224864,120.3850021,-455.6248014,3.527153
0.02,272.7878212,292.0186764,5.848044829,37.83994868,111.272506,-452.1248462,3.529396
0.02,272.087843,291.7309694,6.604843803,40.0653988,102.2300091,-452.1249013,3.531614
0.02,271.3473549,291.4247477,7.406151779,42.10999898,93.18751109,-440.4999847,3.53376
0.02,270.5697351,291.1013156,8.248351758,43.97374921,84.3775114,-446.7500396,3.535789
0.02,269.758333,290.7620475,9.127826743,45.66129943,75.4425106,-434.7501067,3.537656
0.02,268.9163827,290.4083506,10.04105273,47.17014965,66.74750847,-431.7501395,3.539322
0.02,268.047134,290.0417229,10.98445572,48.50509982,58.11250568,-421.8751427,3.540745
0.02,267.1537191,289.6636916,11.95455772,49.66734993,49.67500283,-421.8751055,3.541889
0.02,266.2392206,289.2758376,12.94790472,50.66084999,41.23750072,-411.1250287,3.54272
0.02,265.3066242,288.8797661,13.96112172,51.4856,33.01500014,-404.7499103,3.543209
0.02,264.3588935,288.4771331,14.99083372,52.1459,24.92000194,-394.2497584,3.543327
0.02,263.3988954,288.0696018,16.03375172,52.64430004,17.03500677,-389.874579,3.543051
0.02,262.4294371,287.658847,17.08663772,52.98500018,9.237515188,-380.8743885,3.542361
0.02,261.4532409,287.2465303,18.14633772,53.16975048,1.620027418,-373.3741989,3.541243
0.02,260.472994,286.8343108,19.20973273,53.20215103,-5.847456561,-363.7490345,3.539685
0.02,259.4913201,286.4238185,20.27377575,53.0852019,-13.12243725,-180.1238597,3.53768
0.02,258.5107958,286.0166484,21.33547979,52.82275315,-16.72491445,-1.873643813,3.535225
0.02,257.53394,285.6143423,22.39193485,52.48825486,-16.76238732,-1.87343885,3.532322
0.02,256.5619288,285.2178566,23.44169995,52.15300712,-16.7998561,-5.623183009,3.528973
0.02,255.5946283,284.827595,24.48476009,51.81701,-16.91231976,0.001983163,3.525177
0.02,254.6319124,284.4439556,25.52110029,51.4787636,-16.9122801,-1.872771672,3.520933
0.02,253.6736906,284.0673441,26.55067557,51.140518,-16.94973553,-5.622461915,3.516238
0.02,252.7198398,283.6981428,27.57348593,50.80152329,-17.06218477,-1.872269804,3.511092
0.02,251.7702601,283.336734,28.58951639,50.46027959,-17.09963016,1.877883217,3.505494
0.02,250.8248888,282.9835074,29.59872198,50.11828699,-17.0620725,-5.621667552,3.499441
0.02,249.8836457,282.6388359,30.60108772,49.77704554,-17.17450585,1.878385266,3.492932
0.02,248.9464337,282.303075,31.59662863,49.43355542,-17.13693814,0.00368894,3.485968
0.02,248.0132227,281.9765971,32.58529974,49.09081666,-17.13686437,1.878865469,3.478546
0.02,247.0839384,281.6597469,33.56711608,48.74807937,-17.09928706,0.004194475,3.470667
0.02,246.1585329,281.352868,34.54207766,48.40609363,-17.09920317,3.754259856,3.462331
0.02,245.2369567,281.0562919,35.51019954,48.06410957,-17.02411797,5.629359507,3.453539
0.02,244.3191876,280.770349,36.47148173,47.72362721,-16.91153078,5.629538083,3.444291
0.02,243.4051884,280.4953521,37.42595427,47.38539659,-16.79894002,11.25430633,3.434589
0.02,242.4949215,280.2316015,38.3736622,47.04941779,-16.57385389,5.629811071,3.424436
0.02,241.5883631,279.9793893,39.31465056,46.71794071,-16.46125767,15.00417257,3.413835
0.02,240.6854611,279.7389847,40.24900937,46.38871556,-16.16117422,13.12930872,3.402792
0.02,239.7862203,279.510662,41.17678368,46.06549208,-15.89858804,16.87892188,3.39131
0.02,238.8905883,279.2946642,42.09809353,45.74752032,-15.56100961,20.62841196,3.379397
0.02,237.998541,279.0912289,43.01304393,45.43630012,-15.14844137,22.50298772,3.36706
0.02,237.1100399,278.9005757,43.92176993,45.1333313,-14.69838161,22.50271561,3.354308
0.02,236.2250311,278.7229059,44.82443656,44.83936366,-14.2483273,28.12670216,3.341152
0.02,235.3434601,278.5584066,45.72122383,44.55439712,-13.68579326,30.00101574,3.327604
0.02,234.4652855,278.4072545,46.61231178,44.28068125,-13.08577294,33.74999373,3.313676
0.02,233.5904344,278.2696057,47.4979254,44.01896579,-12.41077307,37.49885759,3.299383
0.02,232.7188319,278.1456025,48.37830472,43.77075033,-11.66079592,33.74879096,3.284741
0.02,231.8503848,278.0353706,49.25371972,43.53753441,-10.9858201,43.1216943,3.269768
0.02,230.9849813,277.9390201,50.12447041,43.31781801,-10.12338621,44.99564416,3.254484
0.02,230.122549,277.8566556,50.99082677,43.11535029,-9.223473328,43.12023815,3.238907
0.02,229.2629507,277.7883607,51.85313378,42.93088082,-8.361068565,46.86890891,3.22306
0.02,228.4060425,277.7342075,52.71175139,42.76365945,-7.423690387,48.74290429,3.206967
0.02,227.5517027,277.6942603,53.56702458,42.61518564,-6.448832301,2386.4665,3.190651
0.02,226.6997863,277.6685718,54.4193283,42.486209,41.28049769,19470.82522,3.174137
0.02,225.8501384,277.657185,55.26905248,43.31181895,430.697002,-21467.3507,3.157451
0.02,224.9839034,277.6587699,56.13528886,51.92575899,1.349988086,-1.874973118,3.141866
0.02,223.9453963,277.6628689,57.17380404,51.95275875,1.312488623,5.624962665,3.137767
0.02,222.9063745,277.6711894,58.21285921,51.97900853,1.424987877,-3.749957236,3.133704
0.02,221.8668696,277.6836991,59.25243938,52.00750828,1.349988732,1.874995251,3.129676
0.02,220.8268529,277.7003631,60.29258955,52.03450806,1.387488637,3.749981129,3.125686
0.02,219.7863703,277.7211477,61.33327971,52.06225783,1.46248826,-3.749958784,3.121732
0.02,218.7454223,277.7460188,62.37452486,52.0915076,1.387489084,1.874996393,3.117815
0.02,217.7039936,277.7749404,63.41635502,52.11925738,1.424989012,3.749983149,3.113937
0.02,216.662129,277.8078772,64.45874016,52.14775716,1.499988675,-1.874974055,3.110096
0.02,215.6198274,277.8447939,65.50169531,52.17775693,1.462489194,-1.874975082,3.106293
0.02,214.5770725,277.8856537,66.54525045,52.20700671,1.424989692,5.624971422,3.10253
0.02,213.5338924,277.9304192,67.58939058,52.23550651,1.53748912,-1.874974766,3.098806
0.02,212.4903149,277.979054,68.63410071,52.26625629,1.499989625,1.16938E-05,3.09512
0.02,211.4463073,278.0315208,69.67942584,52.29625608,1.499989859,1.87499929,3.091475
0.02,210.4018964,278.087781,70.72535096,52.32625588,1.537489845,-1.874976062,3.08787
0.02,209.3570936,278.1477963,71.77187607,52.35700568,1.499990324,3.749987918,3.084305
0.02,208.3118947,278.2115284,72.81901619,52.38700548,1.574990082,-1.874976368,3.080781
0.02,207.2663254,278.278938,73.8667563,52.41850529,1.537490555,1.15232E-05,3.077297
0.02,206.2203655,278.3499865,74.9151264,52.4492551,1.537490785,3.749989748,3.073855
0.02,205.1740398,278.4246335,75.96411151,52.48000491,1.61249058,-3.749966599,3.070454
0.02,204.1273573,278.5028394,77.0137116,52.51225472,1.537491248,1.875000818,3.067094
0.02,203.0802968,278.5845647,78.0639567,52.54300455,1.574991264,1.875001455,3.063777
0.02,202.0328965,278.6697675,79.11481679,52.57450437,1.612491294,1.18519E-05,3.060501
0.02,200.9851493,278.7584082,80.16630688,52.6067542,1.612491531,-1.874978887,3.057267
0.02,199.9370475,278.8504462,81.21844196,52.63900403,1.574991953,3.749992608,3.054076
0.02,198.8885982,278.9458394,82.27122204,52.67050387,1.649991805,-3.749970304,3.050928
0.02,197.8398228,279.0445457,83.32463212,52.70350371,1.574992399,3.749993317,3.047822
0.02,196.7906974,279.1465247,84.37870219,52.73500355,1.649992265,-3.749971683,3.04476
0.02,195.7412578,279.2517324,85.43340226,52.7680034,1.574992832,5.624985864,3.04174
0.02,194.6914792,279.3601286,86.48876233,52.79950326,1.687492549,-3.749972551,3.038764
0.02,193.6413964,279.471669,87.5447524,52.83325311,1.612493098,1.875002829,3.03583
0.02,192.5909691,279.5863139,88.60141746,52.86550297,1.649993154,-1.874981795,3.032941
0.02,191.5402311,279.7040177,89.65872752,52.89850283,1.612493519,3.749995784,3.030095
0.02,190.4891711,279.8247387,90.71669758,52.9307527,1.687493434,-1.874982148,3.027293
