dt,x,y,position,velocity,acceleration,jerk,heading
0.02,254.966017,315.7746136,0,0.07355,7.427500007,320.8750033,5.774465
0.02,254.9673018,315.7738972,0.001471,0.2221,13.84500007,277.7500148,5.774465
0.02,254.9711815,315.7717341,0.005913,0.499000002,19.40000037,277.3750445,5.774561
0.02,254.9798994,315.7668763,0.015893,0.887000009,24.94750126,274.2501081,5.774778
0.02,254.9953996,315.7582476,0.033633,1.385950034,30.43250342,279.1252187,5.775164
0.02,255.0196273,315.7447807,0.061352001,1.994600103,36.01500779,270.5004145,5.775767
0.02,255.0545126,315.7254316,0.101244003,2.714900258,41.42501608,275.6257016,5.776637
0.02,255.1020284,315.6991537,0.155542008,3.54340058,46.93753011,268.1261534,5.777821
0.02,255.1640996,315.6649566,0.22641002,4.482151182,52.30005318,272.3767624,5.779371
0.02,255.242703,315.6218594,0.316053043,5.528152246,57.74758843,262.2526777,5.781336
0.02,255.3397834,315.5689483,0.426616088,6.683104015,62.99264198,263.003875,5.783769
0.02,255.4573399,315.5053399,0.560278169,7.942956854,68.25271948,260.5054742,5.786721
0.02,255.5973304,315.4302475,0.719137306,9.308011244,73.46282897,253.3826769,5.790248
0.02,255.7617534,315.3429507,0.905297531,10.77726782,78.5304825,247.760563,5.794406
0.02,255.9526299,315.2428211,1.120842887,12.34787747,83.48569376,245.6391908,5.799252
0.02,256.1719772,315.1293539,1.367800436,14.01759135,88.39847758,97.64219909,5.804847
0.02,256.4218243,315.0021785,1.648152263,15.7855609,90.35132156,-35.60613542,5.811255
0.02,256.7042423,314.8610628,1.963863481,17.59258733,89.63919885,-44.97719953,5.818541
0.02,257.0202974,314.706438,2.315715228,19.38537131,88.73965486,-44.97320188,5.826751
0.02,257.3701359,314.5393151,2.703422654,21.16016441,87.84019082,-44.96877183,5.835904
0.02,257.7538645,314.36084,3.126625942,22.91696822,86.94081539,-183.843809,5.846024
0.02,258.1716125,314.1722622,3.584965307,24.65578453,83.26393921,-309.348454,5.857135
0.02,258.6235267,313.9749386,4.078080997,26.32106331,77.07697013,-309.5988016,5.869261
0.02,259.1087359,313.7707538,4.604502264,27.86260272,70.8849941,-300.2261601,5.882402
0.02,259.6254109,313.5620032,5.161754318,29.2803026,64.88047089,-288.6049855,5.896527
0.02,260.1716689,313.3509661,5.74736037,30.57791202,59.10837118,-283.6087809,5.911605
0.02,260.745635,313.1398585,6.35891861,31.76007944,53.43619557,-273.4892409,5.9276
0.02,261.3454517,312.9308108,6.994120199,32.82880335,47.96641075,-257.3726901,5.94447
0.02,261.9692243,312.7258722,7.650696266,33.78813157,42.81895694,-253.1288276,5.96217
0.02,262.6150551,312.5269809,8.326458897,34.64451071,37.75638039,-238.1386584,5.98065
0.02,263.2810865,312.3359339,9.019349112,35.39963831,32.99360723,-225.523741,5.999851
0.02,263.9654118,312.1544052,9.727341878,36.05951046,28.48313241,-221.0310399,6.019712
0.02,264.6661584,311.9839072,10.44853209,36.62917311,24.06251161,-204.9174501,6.040164
0.02,265.3814737,311.8257851,11.18111555,37.11042334,19.96416261,-204.2976051,6.061131
0.02,266.1094683,311.6812266,11.92332402,37.50970659,15.87821051,-195.3049792,6.082535
0.02,266.8483132,311.5512283,12.67351815,37.8272708,11.97211092,-193.4334134,6.104289
0.02,267.5961273,311.4366204,13.43006356,38.06671302,8.103442653,-189.4360125,6.126306
0.02,268.351053,311.338045,14.19139782,38.22878187,4.314722404,-65.79092373,6.148494
0.02,269.1112099,311.255964,14.95597346,38.31507632,2.998903929,63.72756153,6.17076
0.02,269.8747232,311.1906536,15.72227499,38.3750544,4.27345516,56.23109286,6.193009
0.02,270.6406918,311.142176,16.48977608,38.4605235,5.398077017,61.85511101,6.215178
0.02,271.4092492,311.110486,17.25898655,38.56848504,6.635179237,18.40297765,6.237233
0.02,272.1804742,311.0955428,18.03035625,38.70118863,7.00323879,-122.379843,6.259144
0.02,272.9544959,311.0972995,18.80438002,38.8412534,4.555641929,-212.7415889,6.280878
