dt,x,y,position,velocity,acceleration,jerk,heading
0.02,240.354217,289.5735584,0,0.07355,14.6275,414.6249978,5.774465
0.02,240.3555017,289.5728419,0.001471,0.3661,22.91999995,457.7499899,5.774465
0.02,240.3618968,289.5692762,0.008793,0.824499999,32.07499975,457.3749695,5.774561
0.02,240.376301,289.5612488,0.025283,1.465999994,41.22249914,461.7499262,5.774778
0.02,240.4019176,289.5469851,0.054603,2.290449977,50.45749766,455.3748504,5.775164
0.02,240.4419534,289.5247231,0.100411999,3.29959993,59.56499467,465.4997175,5.775767
0.02,240.4996557,289.4927013,0.166403998,4.490899823,68.87498902,459.3745216,5.776637
0.02,240.5782412,289.4492089,0.256221994,5.868399604,78.06247945,466.8742162,5.777821
0.02,240.6810172,289.3925314,0.373589987,7.429649193,87.39996378,463.6238032,5.779371
0.02,240.8112739,289.3210257,0.52218297,9.177648468,96.67243984,472.2481902,5.781336
0.02,240.9723869,289.2330808,0.70573594,11.11109726,106.1174036,472.9973884,5.783769
0.02,241.1677493,289.1271747,0.927957885,13.23344534,115.5773514,474.2463229,5.786721
0.02,241.4008643,289.001847,1.192626792,15.54499237,125.0622779,482.1198701,5.790248
0.02,241.675299,288.85575,1.503526639,18.04623792,134.7046753,487.7429798,5.794406
0.02,241.9946974,288.6876687,1.864451398,20.74033143,144.4595349,489.3656145,5.799252
0.02,242.3628384,288.4965229,2.279258026,23.62952213,154.2468472,270.1137386,5.804847
0.02,242.783631,288.281406,2.751848469,26.71445907,159.6491219,35.61276132,5.811255
0.02,243.2610969,288.0416325,3.28613765,29.90744151,160.3613772,44.98536513,5.818541
0.02,243.7977901,287.7775446,3.88428648,33.11466905,161.2610845,44.98295351,5.826751
0.02,244.3946592,287.4905258,4.546579861,36.33989074,162.1607435,44.98031458,5.835904
0.02,245.0527813,287.1821261,5.273377676,39.58310561,163.0603498,-183.8942769,5.846024
0.02,245.7732898,286.8541071,6.065039788,42.84431261,159.3824643,-425.6409595,5.857135
0.02,246.5573673,286.5084536,6.92192604,46.03196189,150.8696451,-425.8903925,5.869261
0.02,247.404545,286.1480835,7.842565278,49.04935479,142.3518372,-435.2636599,5.882402
0.02,248.3125448,285.7767722,8.823552374,51.89639154,133.646564,-446.1361019,5.896527
0.02,249.2790186,285.3983245,9.861480205,54.56932282,124.723842,-452.3835587,5.911605
0.02,250.3014615,285.0165721,10.95286666,57.06379966,115.6761708,-461.0051235,5.9276
0.02,251.3771817,284.6353413,12.09414265,59.37732308,106.4560684,-478.6251003,5.94447
0.02,252.5033194,284.2584058,13.28168912,61.50644444,96.88356636,-481.8713943,5.96217
0.02,253.6768153,283.8894554,14.51181801,63.44411577,87.24613847,-496.8657605,5.98065
0.02,254.8943297,283.5320746,15.78070032,65.18903854,77.30882326,-510.4850742,5.999851
