dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,294.000000,300.000000,0.001471,0.147059,7.352941,367.647059,3.501785
0.020000,294.000000,300.000000,0.007353,0.441176,14.705882,367.647059,3.501844
0.020000,294.000000,300.000000,0.020588,0.882353,22.058824,367.647059,3.501977
0.020000,294.000000,300.000000,0.044118,1.470588,29.411765,367.647059,3.502213
0.020000,294.000000,300.000000,0.080882,2.205882,36.764706,367.647059,3.502581
0.020000,293.970593,299.988885,0.133824,3.088235,44.117647,367.647059,3.503111
0.020000,293.903200,299.963374,0.205882,4.117647,51.470588,367.647059,3.503830
0.020000,293.815206,299.929981,0.300000,5.294118,58.823529,367.647059,3.504767
0.020000,293.703883,299.887599,0.419118,6.617647,66.176471,367.647059,3.505949
0.020000,293.566517,299.835095,0.566176,8.088235,73.529412,367.647059,3.507401
0.020000,293.400405,299.771300,0.744118,9.705882,80.882353,367.647059,3.509148
0.020000,293.202863,299.695001,0.955882,11.470588,88.235294,367.647059,3.511214
0.020000,292.971227,299.604938,1.204412,13.382353,95.588235,367.647059,3.513619
0.020000,292.702854,299.499791,1.492647,15.441176,102.941176,367.647059,3.516383
0.020000,292.395131,299.378179,1.823529,17.647059,110.294118,367.647059,3.519521
0.020000,292.045474,299.238645,2.200000,20.000000,117.647059,367.647059,3.523047
0.020000,291.651333,299.079655,2.625000,22.500000,125.000000,367.647059,3.526970
0.020000,291.211559,298.900147,3.100000,25.000000,125.000000,0.000000,3.531283
0.020000,290.726390,298.699559,3.625000,27.500000,125.000000,-0.000000,3.535961
0.020000,290.196085,298.477294,4.200000,30.000000,125.000000,0.000000,3.540979
0.020000,289.620926,298.232721,4.825000,32.500000,125.000000,-0.000000,3.546308
0.020000,289.001209,297.965189,5.500000,35.000000,125.000000,0.000000,3.551915
0.020000,288.338589,297.674624,6.223529,37.352941,117.647059,-367.647059,3.557757
0.020000,287.636063,297.361578,6.992647,39.558824,110.294118,-367.647059,3.563774
0.020000,286.896604,297.026672,7.804412,41.617647,102.941176,-367.647059,3.569912
0.020000,286.123161,296.670605,8.655882,43.529412,95.588235,-367.647059,3.576115
0.020000,285.318643,296.294160,9.544118,45.294118,88.235294,-367.647059,3.582330
0.020000,284.485928,295.898211,10.466176,46.911765,80.882353,-367.647059,3.588507
0.020000,283.627850,295.483728,11.419118,48.382353,73.529412,-367.647059,3.594599
0.020000,282.747200,295.051776,12.400000,49.705882,66.176471,-367.647059,3.600560
0.020000,281.846724,294.603515,13.405882,50.882353,58.823529,-367.647059,3.606351
0.020000,280.929120,294.140196,14.433824,51.911765,51.470588,-367.647059,3.611932
0.020000,279.997041,293.663164,15.480882,52.794118,44.117647,-367.647059,3.617271
0.020000,279.053096,293.173844,16.544118,53.529412,36.764706,-367.647059,3.622337
0.020000,278.099847,292.673740,17.620588,54.117647,29.411765,-367.647059,3.627104
0.020000,277.139819,292.164426,18.707353,54.558824,22.058824,-367.647059,3.631549
0.020000,276.175495,291.647538,19.801471,54.852941,14.705882,-367.647059,3.635654
