dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,187.713136,306.800801,0.001508,0.150817,7.540843,377.042132,3.641171
0.020000,187.714169,306.801364,0.002685,0.058830,-4.599352,-607.009753,3.641083
0.020000,187.713126,306.800796,0.003873,0.059406,0.028834,231.409346,3.640883
0.020000,187.696059,306.791491,0.023311,0.971917,45.625512,2279.833893,3.640529
0.020000,187.669365,306.776955,0.053707,1.519797,27.394038,-911.573742,3.639977
0.020000,187.630866,306.756023,0.097528,2.191034,33.561838,308.390027,3.639187
0.020000,187.578355,306.727536,0.157269,2.987036,39.800097,311.912934,3.638118
0.020000,187.509576,306.690334,0.235464,3.909767,46.136518,316.821064,3.636735
0.020000,187.422217,306.643256,0.334701,4.961846,52.603987,323.373456,3.635005
0.020000,187.313886,306.585146,0.457634,6.146646,59.239991,331.800191,3.632900
0.020000,187.182097,306.514842,0.607001,7.468385,66.086947,342.347815,3.630401
0.020000,187.024251,306.431186,0.785646,8.932239,73.192710,355.288144,3.627493
0.020000,186.838716,306.333593,0.995283,10.481846,77.480329,214.380968,3.624192
0.020000,186.624862,306.222051,1.236478,12.059738,78.894626,70.714812,3.620541
0.020000,186.381973,306.096539,1.509879,13.670057,80.515929,81.065151,3.616589
0.020000,186.109252,305.957017,1.816218,15.316956,82.344968,91.451979,3.612391
0.020000,185.805819,305.803423,2.156310,17.004598,84.382064,101.854800,3.608009
0.020000,185.471892,305.636252,2.529745,18.671741,83.357168,-51.244808,3.603525
0.020000,185.108866,305.456546,2.934815,20.253484,79.087135,-213.501637,3.599039
0.020000,184.718211,305.265320,3.369762,21.747386,74.695120,-219.600748,3.594645
0.020000,184.301486,305.063552,3.832763,23.150023,70.131855,-228.163272,3.590433
0.020000,183.860366,304.852192,4.321905,24.457086,65.353144,-238.935538,3.586486
0.020000,183.396653,304.632157,4.835174,25.663486,60.320016,-251.656420,3.582881
0.020000,182.912286,304.404337,5.370444,26.763466,54.998972,-266.052201,3.579684
0.020000,182.409353,304.169605,5.925458,27.750703,49.361870,-281.855113,3.576953
0.020000,181.890097,303.928817,6.497826,28.618423,43.385973,-298.794815,3.574735
0.020000,181.356915,303.682831,7.085016,29.359494,37.053550,-316.621144,3.573066
0.020000,180.812363,303.432510,7.684347,29.966530,30.351809,-335.087060,3.571972
0.020000,180.260402,303.179317,8.291610,30.363166,19.831828,-525.999078,3.571468
0.020000,179.705203,302.924780,8.902375,30.538270,8.755191,-553.831853,3.571550
0.020000,179.149861,302.669929,9.513402,30.551356,0.654296,-405.044747,3.572202
0.020000,178.597594,302.415871,10.121304,30.395062,-7.814683,-423.448931,3.573396
0.020000,178.051738,302.163804,10.722549,30.062289,-16.638674,-441.199558,3.575093
0.020000,177.515730,301.915030,11.313475,29.546285,-25.800215,-458.077023,3.577244
0.020000,176.993094,301.670967,11.890290,28.840742,-35.277123,-473.845429,3.579791
0.020000,176.487426,301.433153,12.449088,27.939893,-45.042438,-488.265761,3.582667
0.020000,176.002379,301.203254,12.985860,26.838612,-55.064074,-501.081756,3.585796
0.020000,175.541643,300.983059,13.496510,25.532515,-65.304833,-512.037982,3.589098
0.020000,175.108931,300.774474,13.976872,24.018070,-75.722278,-520.872217,3.592485
0.020000,174.707962,300.579514,14.422726,22.292693,-86.268863,-527.329278,3.595867
0.020000,174.341050,300.399595,14.831376,20.432508,-93.009232,-337.018464,3.599163
0.020000,174.008934,300.235408,15.201860,18.524219,-95.414460,-120.261363,3.602310
0.020000,173.712144,300.087557,15.533438,16.578887,-97.266570,-92.605500,3.605253
0.020000,173.451137,299.956613,15.825450,14.600622,-98.913260,-82.334519,3.607942
0.020000,173.226297,299.843097,16.077321,12.593530,-100.354605,-72.067272,3.610333
0.020000,173.036528,299.746755,16.290145,10.641204,-97.616283,136.916131,3.612404
0.020000,172.879113,299.666460,16.466856,8.835544,-90.282996,366.664319,3.614159
0.020000,172.751138,299.600922,16.610636,7.189017,-82.326382,397.830738,3.615611
0.020000,172.649632,299.548772,16.724755,5.705958,-74.152939,408.672138,3.616777
0.020000,172.571581,299.508569,16.812552,4.389844,-65.805715,417.361171,3.617684
0.020000,172.513937,299.478820,16.877420,3.243387,-57.322830,424.144256,3.618359
0.020000,172.473629,299.457989,16.922793,2.268632,-48.737745,429.254253,3.618833
0.020000,172.447568,299.444508,16.952134,1.467055,-40.078853,432.944602,3.619141
0.020000,172.432655,299.436788,16.968927,0.839653,-31.370111,435.437091,3.619318
0.020000,172.425780,299.433229,16.976668,0.387041,-22.630573,436.976938,3.619399
0.020000,172.423835,299.432221,16.978859,0.109547,-13.874725,437.792380,3.619422
0.020000,172.423705,299.432154,16.979005,0.007302,-5.112222,438.125159,3.619424
0.020000,172.423705,299.432154,16.979005,0.000000,-0.365124,237.354879,3.619424
