dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,90.000000,287.000000,0.001471,0.147059,7.352941,367.647059,6.283185
0.020000,90.000000,287.000000,0.007353,0.441176,14.705882,367.647059,6.283185
0.020000,90.000000,287.000000,0.020588,0.882353,22.058824,367.647059,6.283185
0.020000,90.000000,287.000000,0.044118,1.470588,29.411765,367.647059,6.283185
0.020000,90.000000,287.000000,0.080882,2.205882,36.764706,367.647059,6.283185
0.020000,90.045824,287.000000,0.133824,3.088235,44.117647,367.647059,6.283185
0.020000,90.117882,287.000000,0.205882,4.117647,51.470588,367.647059,6.283185
0.020000,90.212000,287.000000,0.300000,5.294118,58.823529,367.647059,6.283185
0.020000,90.331118,287.000000,0.419118,6.617647,66.176471,367.647059,6.283185
0.020000,90.478176,287.000000,0.566176,8.088235,73.529412,367.647059,6.283185
0.020000,90.656118,287.000000,0.744118,9.705882,80.882353,367.647059,6.283185
0.020000,90.867882,287.000000,0.955882,11.470588,88.235294,367.647059,6.283185
0.020000,91.116412,287.000000,1.204412,13.382353,95.588235,367.647059,6.283185
0.020000,91.404647,287.000000,1.492647,15.441176,102.941176,367.647059,6.283185
0.020000,91.735529,287.000000,1.823529,17.647059,110.294118,367.647059,6.283185
0.020000,92.112000,287.000000,2.200000,20.000000,117.647059,367.647059,6.283185
0.020000,92.537000,287.000000,2.625000,22.500000,125.000000,367.647059,6.283185
0.020000,93.012000,287.000000,3.100000,25.000000,125.000000,0.000000,6.283185
0.020000,93.537000,287.000000,3.625000,27.500000,125.000000,-0.000000,6.283185
0.020000,94.112000,287.000000,4.200000,30.000000,125.000000,0.000000,6.283185
0.020000,94.737000,287.000000,4.825000,32.500000,125.000000,-0.000000,6.283185
0.020000,95.412000,287.000000,5.500000,35.000000,125.000000,0.000000,6.283185
0.020000,96.135529,287.000000,6.223529,37.352941,117.647059,-367.647059,6.283185
0.020000,96.904647,287.000000,6.992647,39.558824,110.294118,-367.647059,6.283185
0.020000,97.716412,287.000000,7.804412,41.617647,102.941176,-367.647059,6.283185
0.020000,98.567882,287.000000,8.655882,43.529412,95.588235,-367.647059,6.283185
0.020000,99.456118,287.000000,9.544118,45.294118,88.235294,-367.647059,6.283185
0.020000,100.378176,287.000000,10.466176,46.911765,80.882353,-367.647059,6.283185
0.020000,101.331118,287.000000,11.419118,48.382353,73.529412,-367.647059,6.283185
0.020000,102.312000,287.000000,12.400000,49.705882,66.176471,-367.647059,6.283185
0.020000,103.317882,287.000000,13.405882,50.882353,58.823529,-367.647059,6.283185
0.020000,104.345824,287.000000,14.433824,51.911765,51.470588,-367.647059,6.283185
0.020000,105.392882,287.000000,15.480882,52.794118,44.117647,-367.647059,6.283185
0.020000,106.456118,287.000000,16.544118,53.529412,36.764706,-367.647059,6.283185
0.020000,107.532588,287.000000,17.620588,54.117647,29.411765,-367.647059,6.283185
0.020000,108.619353,287.000000,18.707353,54.558824,22.058824,-367.647059,0.000000
0.020000,109.713471,287.000000,19.801471,54.852941,14.705882,-367.647059,0.000000
0.020000,110.812000,287.000000,20.900000,55.000000,7.352941,-367.647059,0.000000
0.020000,111.912000,287.000000,22.000000,55.000000,0.000000,-367.647059,0.000000
0.020000,113.012000,287.000000,23.100000,55.000000,0.000000,0.000000,0.000000
0.020000,114.112000,287.000000,24.200000,55.000000,0.000000,0.000000,0.000000
0.020000,115.212000,287.000000,25.300000,55.000000,0.000000,0.000000,0.000000
0.020000,116.312000,287.000000,26.400000,55.000000,0.000000,0.000000,0.000000
0.020000,117.412000,287.000000,27.500000,55.000000,0.000000,0.000000,0.000000
0.020000,118.512000,287.000000,28.600000,55.000000,0.000000,0.000000,0.000000
0.020000,119.612000,287.000000,29.700000,55.000000,0.000000,0.000000,0.000000
0.020000,120.712000,287.000000,30.800000,55.000000,0.000000,0.000000,0.000000
0.020000,121.812000,287.000000,31.900000,55.000000,0.000000,0.000000,0.000000
0.020000,122.912000,287.000000,33.000000,55.000000,0.000000,0.000000,0.000000
0.020000,124.012000,287.000000,34.100000,55.000000,0.000000,0.000000,0.000000
0.020000,125.112000,287.000000,35.200000,55.000000,0.000000,0.000000,0.000000
0.020000,126.212000,287.000000,36.300000,55.000000,0.000000,0.000000,0.000000
0.020000,127.312000,287.000000,37.400000,55.000000,0.000000,0.000000,0.000000
0.020000,128.412000,287.000000,38.500000,55.000000,0.000000,0.000000,0.000000
0.020000,129.512000,287.000000,39.600000,55.000000,0.000000,0.000000,0.000000
0.020000,130.612000,287.000000,40.700000,55.000000,0.000000,0.000000,0.000000
0.020000,131.712000,287.000000,41.800000,55.000000,0.000000,0.000000,0.000000
0.020000,132.812000,287.000000,42.900000,55.000000,0.000000,0.000000,0.000000
0.020000,133.912000,287.000000,44.000000,55.000000,0.000000,0.000000,0.000000
0.020000,135.012000,287.000000,45.100000,55.000000,0.000000,0.000000,0.000000
0.020000,136.112000,287.000000,46.200000,55.000000,0.000000,0.000000,0.000000
0.020000,137.212000,287.000000,47.300000,55.000000,0.000000,0.000000,0.000000
0.020000,138.312000,287.000000,48.400000,55.000000,0.000000,0.000000,0.000000
0.020000,139.412000,287.000000,49.500000,55.000000,0.000000,0.000000,0.000000
0.020000,140.512000,287.000000,50.600000,55.000000,0.000000,0.000000,0.000000
0.020000,141.612000,287.000000,51.700000,55.000000,0.000000,0.000000,0.000000
0.020000,142.712000,287.000000,52.800000,55.000000,0.000000,0.000000,0.000000
0.020000,143.812000,287.000000,53.900000,55.000000,0.000000,0.000000,0.000000
0.020000,144.912000,287.000000,55.000000,55.000000,0.000000,0.000000,0.000000
0.020000,146.012000,287.000000,56.100000,55.000000,0.000000,0.000000,0.000000
0.020000,147.112000,287.000000,57.200000,55.000000,0.000000,0.000000,0.000000
0.020000,148.212000,287.000000,58.300000,55.000000,0.000000,0.000000,0.000000
0.020000,149.312000,287.000000,59.400000,55.000000,0.000000,0.000000,0.000000
0.020000,150.412000,287.000000,60.500000,55.000000,0.000000,0.000000,0.000000
0.020000,151.512000,287.000000,61.600000,55.000000,0.000000,0.000000,0.000000
