dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0,13.25,0.001508,0.15083,7.541478,377.073906,0
0.02,0,13.25,0.007541,0.452489,15.082956,377.073906,0
0.02,0,13.25,0.021116,0.904977,22.624434,377.073906,0
0.02,0,13.25,0.045249,1.508296,30.165913,377.073906,0
0.02,0,13.25,0.082956,2.262443,37.707391,377.073906,0
0.02,0.061161,13.25,0.137255,3.167421,45.248869,377.073906,0
0.02,0.157692,13.25,0.211161,4.223228,52.790347,377.073906,0
0.02,0.279864,13.25,0.307692,5.429864,60.331825,377.073906,0
0.02,0.430694,13.25,0.429864,6.78733,67.873303,377.073906,0
0.02,0.613198,13.25,0.580694,8.295626,75.414781,377.073906,0
0.02,0.830392,13.25,0.763198,9.954751,82.956259,377.073906,0
0.02,1.085294,13.25,0.980392,11.764706,90.497738,377.073906,0
0.02,1.38092,13.25,1.382428,14.781297,101.809955,377.073906,0
0.02,1.720287,13.25,1.721795,16.968326,109.351433,377.073906,0
0.02,2.10641,13.25,2.107919,19.306184,116.892911,377.073906,0
0.02,2.542308,13.25,2.543816,21.794872,124.434389,377.073906,0
0.02,3.029487,13.25,3.030995,24.358974,128.205128,188.536953,0
0.02,3.567949,13.25,3.569457,26.923077,128.205128,0,0
0.02,4.157692,13.25,4.159201,29.487179,128.205128,0,0
0.02,4.798718,13.25,4.800226,32.051282,128.205128,0,0
0.02,5.491026,13.25,5.492534,34.615385,128.205128,0,0
0.02,6.234615,13.25,6.236124,37.179487,128.205128,0,0
0.02,7.029487,13.25,7.030995,39.74359,128.205128,0,0
0.02,7.875641,13.25,7.877149,42.307692,128.205128,0,0
0.02,8.773077,13.25,8.774585,44.871795,128.205128,0,0
0.02,9.721795,13.25,9.723303,47.435897,128.205128,0,0
0.02,10.721795,13.25,10.723303,50,128.205128,0,0
0.02,11.773077,13.25,11.774585,52.564103,128.205128,0,0
0.02,12.875641,13.25,12.877149,55.128205,128.205128,0,0
0.02,14.029487,13.25,14.030995,57.692308,128.205128,0,0
