dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,0.000000,0.000000,0.007606,0.456389,15.212982,380.324544,0.000000
0.020000,0.000000,0.000000,0.021298,0.912779,22.819473,380.324544,0.000000
0.020000,0.000000,0.000000,0.045639,1.521298,30.425963,380.324544,0.000000
0.020000,0.000000,0.000000,0.083671,2.281947,38.032454,380.324544,0.000000
0.020000,0.000000,0.000000,0.138438,3.194726,45.638945,380.324544,0.000000
0.020000,0.062982,0.000000,0.212982,4.259635,53.245436,380.324544,0.000000
0.020000,0.160345,0.000000,0.310345,5.476673,60.851927,380.324544,0.000000
0.020000,0.283570,0.000000,0.433570,6.845842,68.458418,380.324544,0.000000
0.020000,0.435700,0.000000,0.585700,8.367140,76.064909,380.324544,0.000000
0.020000,0.619777,0.000000,0.769777,10.040568,83.671400,380.324544,0.000000
0.020000,0.838844,0.000000,0.988844,11.866126,91.277890,380.324544,0.000000
0.020000,1.095943,0.000000,1.245943,13.843813,98.884381,380.324544,0.000000
0.020000,1.394118,0.000000,1.544118,15.973631,106.490872,380.324544,0.000000
0.020000,1.736410,0.000000,1.886410,18.255578,114.097363,380.324544,0.000000
0.020000,2.125862,0.000000,2.275862,20.689655,121.703854,380.324544,0.000000
0.020000,2.565517,0.000000,2.715517,23.275862,129.310345,380.324544,0.000000
0.020000,3.056897,0.000000,3.206897,25.862069,129.310345,0.000000,0.000000
0.020000,3.600000,0.000000,3.750000,28.448276,129.310345,0.000000,0.000000
0.020000,4.194828,0.000000,4.344828,31.034483,129.310345,0.000000,0.000000
0.020000,4.841379,0.000000,4.991379,33.620690,129.310345,-0.000000,0.000000
0.020000,5.539655,0.000000,5.689655,36.206897,129.310345,0.000000,0.000000
0.020000,6.289655,0.000000,6.439655,38.793103,129.310345,-0.000000,0.000000
0.020000,7.091379,0.000000,7.241379,41.379310,129.310345,0.000000,0.000000
0.020000,7.944828,0.000000,8.094828,43.965517,129.310345,-0.000000,0.000000
0.020000,8.850000,0.000000,9.000000,46.551724,129.310345,-0.000000,0.000000
0.020000,9.806897,0.000000,9.956897,49.137931,129.310345,0.000000,0.000000
0.020000,10.815517,0.000000,10.965517,51.724138,129.310345,-0.000000,0.000000
0.020000,11.875862,0.000000,12.025862,54.310345,129.310345,0.000000,0.000000
0.020000,12.986410,0.000000,13.136410,56.744422,121.703854,-380.324544,0.000000
0.020000,14.144118,0.000000,14.294118,59.026369,114.097363,-380.324544,0.000000
0.020000,15.345943,0.000000,15.495943,61.156187,106.490872,-380.324544,0.000000
0.020000,16.588844,0.000000,16.738844,63.133874,98.884381,-380.324544,0.000000
0.020000,17.869777,0.000000,18.019777,64.959432,91.277890,-380.324544,0.000000
0.020000,19.185700,0.000000,19.335700,66.632860,83.671400,-380.324544,0.000000
0.020000,20.533570,0.000000,20.683570,68.154158,76.064909,-380.324544,0.000000
0.020000,21.910345,0.000000,22.060345,69.523327,68.458418,-380.324544,0.000000
0.020000,23.312982,0.000000,23.462982,70.740365,60.851927,-380.324544,0.000000
0.020000,24.738438,0.000000,24.888438,71.805274,53.245436,-380.324544,0.000000
0.020000,26.183671,0.000000,26.333671,72.718053,45.638945,-380.324544,0.000000
0.020000,27.645639,0.000000,27.795639,73.478702,38.032454,-380.324544,0.000000
0.020000,29.121298,0.000000,29.271298,74.087221,30.425963,-380.324544,0.000000
0.020000,30.607606,0.000000,30.757606,74.543611,22.819473,-380.324544,0.000000
0.020000,32.101521,0.000000,32.251521,74.847870,15.212982,-380.324544,0.000000
0.020000,33.600000,0.000000,33.750000,75.000000,7.606491,-380.324544,0.000000
0.020000,35.100000,0.000000,35.250000,75.000000,0.000000,-380.324544,0.000000
0.020000,36.600000,0.000000,36.750000,75.000000,0.000000,0.000000,0.000000
0.020000,38.100000,0.000000,38.250000,75.000000,0.000000,0.000000,0.000000
0.020000,39.600000,0.000000,39.750000,75.000000,0.000000,0.000000,0.000000
0.020000,41.100000,0.000000,41.250000,75.000000,0.000000,0.000000,0.000000
0.020000,42.600000,0.000000,42.750000,75.000000,0.000000,0.000000,0.000000
0.020000,44.100000,0.000000,44.250000,75.000000,0.000000,0.000000,0.000000
0.020000,45.600000,0.000000,45.750000,75.000000,0.000000,0.000000,0.000000
0.020000,47.100000,0.000000,47.250000,75.000000,0.000000,0.000000,0.000000
0.020000,48.600000,0.000000,48.750000,75.000000,0.000000,0.000000,0.000000
0.020000,50.100000,0.000000,50.250000,75.000000,0.000000,0.000000,0.000000
0.020000,51.600000,0.000000,51.750000,75.000000,0.000000,0.000000,0.000000
0.020000,53.100000,0.000000,53.250000,75.000000,0.000000,0.000000,0.000000
0.020000,54.600000,0.000000,54.750000,75.000000,0.000000,0.000000,0.000000
0.020000,56.100000,0.000000,56.250000,75.000000,0.000000,0.000000,0.000000
0.020000,57.600000,0.000000,57.750000,75.000000,0.000000,0.000000,0.000000
0.020000,59.100000,0.000000,59.250000,75.000000,0.000000,0.000000,0.000000
0.020000,60.600000,0.000000,60.750000,75.000000,0.000000,0.000000,0.000000
0.020000,62.100000,0.000000,62.250000,75.000000,0.000000,0.000000,0.000000
0.020000,63.600000,0.000000,63.750000,75.000000,0.000000,0.000000,0.000000
0.020000,65.100000,0.000000,65.250000,75.000000,0.000000,0.000000,0.000000
0.020000,66.600000,0.000000,66.750000,75.000000,0.000000,0.000000,0.000000
0.020000,68.100000,0.000000,68.250000,75.000000,0.000000,0.000000,0.000000
0.020000,69.600000,0.000000,69.750000,75.000000,0.000000,0.000000,0.000000
0.020000,71.100000,0.000000,71.250000,75.000000,0.000000,0.000000,0.000000
0.020000,72.600000,0.000000,72.750000,75.000000,0.000000,0.000000,0.000000
0.020000,74.100000,0.000000,74.250000,75.000000,0.000000,0.000000,0.000000
0.020000,75.600000,0.000000,75.750000,75.000000,0.000000,0.000000,0.000000
0.020000,77.100000,0.000000,77.250000,75.000000,0.000000,0.000000,0.000000
0.020000,78.600000,0.000000,78.750000,75.000000,0.000000,0.000000,0.000000
0.020000,80.100000,0.000000,80.250000,75.000000,0.000000,0.000000,0.000000
0.020000,81.600000,0.000000,81.750000,75.000000,0.000000,0.000000,0.000000
0.020000,83.100000,0.000000,83.250000,75.000000,0.000000,0.000000,0.000000
0.020000,84.600000,0.000000,84.750000,75.000000,0.000000,0.000000,0.000000
0.020000,86.100000,0.000000,86.250000,75.000000,0.000000,0.000000,0.000000
0.020000,87.600000,0.000000,87.750000,75.000000,0.000000,0.000000,0.000000
0.020000,89.100000,0.000000,89.250000,75.000000,0.000000,0.000000,0.000000
0.020000,90.600000,0.000000,90.750000,75.000000,0.000000,0.000000,0.000000
0.020000,92.100000,0.000000,92.250000,75.000000,0.000000,0.000000,0.000000
0.020000,93.600000,0.000000,93.750000,75.000000,0.000000,0.000000,0.000000
0.020000,95.100000,0.000000,95.250000,75.000000,0.000000,0.000000,0.000000
0.020000,96.600000,0.000000,96.750000,75.000000,0.000000,0.000000,0.000000
0.020000,98.100000,0.000000,98.250000,75.000000,0.000000,0.000000,0.000000
0.020000,99.600000,0.000000,99.750000,75.000000,0.000000,0.000000,0.000000
0.020000,101.100000,0.000000,101.250000,75.000000,0.000000,0.000000,0.000000
0.020000,102.600000,0.000000,102.750000,75.000000,0.000000,0.000000,0.000000
0.020000,104.100000,0.000000,104.250000,75.000000,0.000000,0.000000,0.000000
0.020000,105.600000,0.000000,105.750000,75.000000,0.000000,0.000000,0.000000
0.020000,107.100000,0.000000,107.250000,75.000000,0.000000,0.000000,0.000000
0.020000,108.600000,0.000000,108.750000,75.000000,0.000000,0.000000,0.000000
0.020000,110.100000,0.000000,110.250000,75.000000,0.000000,0.000000,0.000000
0.020000,111.600000,0.000000,111.750000,75.000000,0.000000,0.000000,0.000000
0.020000,113.100000,0.000000,113.250000,75.000000,0.000000,0.000000,0.000000
0.020000,114.600000,0.000000,114.750000,75.000000,0.000000,0.000000,0.000000
0.020000,116.100000,0.000000,116.250000,75.000000,0.000000,0.000000,0.000000
0.020000,117.598631,0.000000,117.748631,74.863083,-6.845842,-342.292089,0.000000
0.020000,119.093002,0.000000,119.243002,74.574037,-14.452333,-380.324544,0.000000
0.020000,120.580071,0.000000,120.730071,74.132860,-22.058824,-380.324544,0.000000
0.020000,122.056795,0.000000,122.206795,73.539554,-29.665314,-380.324544,0.000000
0.020000,123.520132,0.000000,123.670132,72.794118,-37.271805,-380.324544,0.000000
0.020000,124.967039,0.000000,125.117039,71.896552,-44.878296,-380.324544,0.000000
0.020000,126.394473,0.000000,126.544473,70.846856,-52.484787,-380.324544,0.000000
0.020000,127.799391,0.000000,127.949391,69.645030,-60.091278,-380.324544,0.000000
0.020000,129.178753,0.000000,129.328753,68.291075,-67.697769,-380.324544,0.000000
0.020000,130.529513,0.000000,130.679513,66.784990,-75.304260,-380.324544,0.000000
0.020000,131.848631,0.000000,131.998631,65.126775,-82.910751,-380.324544,0.000000
0.020000,133.133063,0.000000,133.283063,63.316430,-90.517241,-380.324544,0.000000
0.020000,134.379767,0.000000,134.529767,61.353955,-98.123732,-380.324544,0.000000
0.020000,135.585700,0.000000,135.735700,59.239351,-105.730223,-380.324544,0.000000
0.020000,136.747819,0.000000,136.897819,56.972617,-113.336714,-380.324544,0.000000
0.020000,137.863083,0.000000,138.013083,54.553753,-120.943205,-380.324544,0.000000
0.020000,138.928448,0.000000,139.078448,51.982759,-128.549696,-380.324544,0.000000
0.020000,139.942241,0.000000,140.092241,49.396552,-129.310345,-38.032454,0.000000
0.020000,140.904310,0.000000,141.054310,46.810345,-129.310345,0.000000,0.000000
0.020000,141.814655,0.000000,141.964655,44.224138,-129.310345,0.000000,0.000000
0.020000,142.673276,0.000000,142.823276,41.637931,-129.310345,-0.000000,0.000000
0.020000,143.480172,0.000000,143.630172,39.051724,-129.310345,0.000000,0.000000
0.020000,144.235345,0.000000,144.385345,36.465517,-129.310345,0.000000,0.000000
0.020000,144.938793,0.000000,145.088793,33.879310,-129.310345,-0.000000,0.000000
0.020000,145.590517,0.000000,145.740517,31.293103,-129.310345,-0.000000,0.000000
