dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0,-15,0,0.07645,11.4725,382.25,0
0.02,0.001529,-15,0.001529,0.3059,19.1175,382.25,0
0.02,0.007647,-15,0.007647,0.68825,26.7625,382.625,0
0.02,0.021412,-15,0.021412,1.2235,34.415,382,0
0.02,0.045882,-15,0.045882,1.9118,42.055,382.75,0
0.02,0.084118,-15,0.084118,2.7529,49.71,382,0
0.02,0.139176,-15,0.139176,3.7471,57.35,382.5,0
0.02,0.214118,-15,0.214118,4.8941,65,382.5,0
0.02,0.312,-15,0.312,6.1941,72.65,382,0
0.02,0.435882,-15,0.435882,7.6471,80.29,382.75,0
0.02,0.588824,-15,0.588824,9.2529,87.945,382,0
0.02,0.773882,-15,0.773882,11.0118,95.585,382.625,0
0.02,0.994118,-15,0.994118,12.9235,103.2375,382.25,0
0.02,1.252588,-15,1.252588,14.98825,110.8825,382.25,0
0.02,1.552353,-15,1.552353,17.2059,118.5275,382.5,0
0.02,1.896471,-15,1.896471,19.57645,126.1775,191.125,0
0.02,2.288,-15,2.288,22.1,130,-5.25802E-11,0
0.02,2.73,-15,2.73,24.7,130,1.15108E-10,0
0.02,3.224,-15,3.224,27.3,130,-1.77636E-10,0
0.02,3.77,-15,3.77,29.9,130,1.69109E-10,0
0.02,4.368,-15,4.368,32.5,130,1.7053E-11,0
0.02,5.018,-15,5.018,35.1,130,-1.23634E-10,0
0.02,5.72,-15,5.72,37.7,130,0,0
0.02,6.474,-15,6.474,40.3,130,-191.125,0
0.02,7.28,-15,7.28,42.9,126.1775,-382.5,0
0.02,8.138,-15,8.138,45.42355,118.5275,-382.25,0
0.02,9.046471,-15,9.046471,47.7941,110.8825,-382.25,0
0.02,10.002353,-15,10.002353,50.01175,103.2375,-382.625,0
0.02,11.002588,-15,11.002588,52.0765,95.585,-382,0
0.02,12.044118,-15,12.044118,53.9882,87.945,-382.75,0
0.02,13.123882,-15,13.123882,55.7471,80.29,-382,0
0.02,14.238824,-15,14.238824,57.3529,72.65,-382.5,0
0.02,15.385882,-15,15.385882,58.8059,65,-382.5,0
0.02,16.562,-15,16.562,60.1059,57.35,-382,0
0.02,17.764118,-15,17.764118,61.2529,49.71,-382.75,0
0.02,18.989176,-15,18.989176,62.2471,42.055,-382,0
0.02,20.234118,-15,20.234118,63.0882,34.415,-382.625,0
0.02,21.495882,-15,21.495882,63.7765,26.7625,-382.25,0
0.02,22.771412,-15,22.771412,64.31175,19.1175,-382.25,0
0.02,24.057647,-15,24.057647,64.6941,11.4725,-382.5,0
0.02,25.351529,-15,25.351529,64.92355,3.8225,-191.125,0
0.02,26.65,-15,26.65,65,0,0,0
0.02,27.95,-15,27.95,65,0,0,0
0.02,29.25,-15,29.25,65,0,-4.26326E-10,0
0.02,30.55,-15,30.55,65,-8.52651E-12,1.3145E-09,0
0.02,31.85,-15,31.85,65,1.77636E-11,-1.77636E-09,0
0.02,33.15,-15,33.15,65,-1.77636E-11,8.88178E-10,0
0.02,34.45,-15,34.45,65,0,8.88178E-10,0
0.02,35.75,-15,35.75,65,1.77636E-11,-1.77636E-09,0
0.02,37.05,-15,37.05,65,-1.77636E-11,1.77636E-09,0
0.02,38.35,-15,38.35,65,1.77636E-11,-1.77636E-09,0
0.02,39.65,-15,39.65,65,-1.77636E-11,8.88178E-10,0
0.02,40.95,-15,40.95,65,0,8.88178E-10,0
0.02,42.25,-15,42.25,65,1.77636E-11,-1.77636E-09,0
0.02,43.55,-15,43.55,65,-1.77636E-11,1.77636E-09,0
0.02,44.85,-15,44.85,65,1.77636E-11,-1.77636E-09,0
0.02,46.15,-15,46.15,65,-1.77636E-11,8.88178E-10,0
0.02,47.45,-15,47.45,65,0,8.88178E-10,0
0.02,48.75,-15,48.75,65,1.77636E-11,-1.77636E-09,0
0.02,50.05,-15,50.05,65,-1.77636E-11,1.77636E-09,0
0.02,51.35,-15,51.35,65,1.77636E-11,-1.77636E-09,0
0.02,52.65,-15,52.65,65,-1.77636E-11,8.88178E-10,0
0.02,53.95,-15,53.95,65,0,8.88178E-10,0
0.02,55.25,-15,55.25,65,1.77636E-11,-1.77636E-09,0
0.02,56.55,-15,56.55,65,-1.77636E-11,1.77636E-09,0
0.02,57.85,-15,57.85,65,1.77636E-11,-1.77636E-09,0
0.02,59.15,-15,59.15,65,-1.77636E-11,8.88178E-10,0
0.02,60.45,-15,60.45,65,0,0,0
0.02,61.75,-15,61.75,65,0,1.77636E-09,0
0.02,63.05,-15,63.05,65,3.55271E-11,-3.55271E-09,0
0.02,64.35,-15,64.35,65,-3.55271E-11,1.77636E-09,0
0.02,65.65,-15,65.65,65,0,0,0
0.02,66.95,-15,66.95,65,0,0,0
0.02,68.25,-15,68.25,65,0,1.77636E-09,0
0.02,69.55,-15,69.55,65,3.55271E-11,-3.55271E-09,0
0.02,70.85,-15,70.85,65,-3.55271E-11,1.77636E-09,0
0.02,72.15,-15,72.15,65,0,0,0
0.02,73.45,-15,73.45,65,0,0,0
0.02,74.75,-15,74.75,65,0,1.77636E-09,0
0.02,76.05,-15,76.05,65,3.55271E-11,-3.55271E-09,0
0.02,77.35,-15,77.35,65,-3.55271E-11,1.77636E-09,0
0.02,78.65,-15,78.65,65,0,0,0
0.02,79.95,-15,79.95,65,0,0,0
0.02,81.25,-15,81.25,65,0,1.77636E-09,0
0.02,82.55,-15,82.55,65,3.55271E-11,-3.55271E-09,0
0.02,83.85,-15,83.85,65,-3.55271E-11,1.77636E-09,0
0.02,85.15,-15,85.15,65,0,0,0
0.02,86.45,-15,86.45,65,0,0,0
0.02,87.75,-15,87.75,65,0,1.77636E-09,0
0.02,89.05,-15,89.05,65,3.55271E-11,-3.55271E-09,0
0.02,90.35,-15,90.35,65,-3.55271E-11,1.77636E-09,0
0.02,91.65,-15,91.65,65,0,0,0
0.02,92.95,-15,92.95,65,0,0,0
0.02,94.25,-15,94.25,65,0,1.77636E-09,0
0.02,95.55,-15,95.55,65,3.55271E-11,-3.55271E-09,0
0.02,96.85,-15,96.85,65,-3.55271E-11,1.77636E-09,0
0.02,98.15,-15,98.15,65,0,0,0
0.02,99.45,-15,99.45,65,0,0,0
0.02,100.75,-15,100.75,65,0,1.77636E-09,0
