dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.003874,12.499999,0.008547,0.854701,42.735043,2136.752137,0.000310
0.020000,-0.003115,12.500000,0.009306,0.037953,-40.837395,-4178.621879,0.000249
0.020000,-0.001411,12.500000,0.011010,0.085188,2.361752,2159.957337,0.000113
0.020000,0.065724,12.499996,0.078145,3.356763,163.578744,8060.849610,6.283072
0.020000,0.249142,12.499947,0.261563,9.170901,290.706903,6356.407938,6.282758
0.020000,0.484919,12.499798,0.497340,11.788839,130.896898,-7990.500243,6.282357
0.020000,0.773022,12.499490,0.785442,14.405130,130.814561,-4.116846,6.281873
0.020000,1.113405,12.498947,1.125827,17.019211,130.704066,-5.524737,6.281309
0.020000,1.506021,12.498084,1.518444,19.630841,130.581503,-6.128190,6.280669
0.020000,1.950810,12.496806,1.963234,22.239526,130.434237,-7.363298,6.279957
0.020000,2.447711,12.495008,2.460139,24.845239,130.285623,-7.430700,6.279179
0.020000,2.996649,12.492578,3.009082,27.447135,130.094832,-9.539532,6.278341
0.020000,3.597542,12.489397,3.609983,30.045067,129.896577,-9.912725,6.277448
0.020000,4.250305,12.485344,4.262758,32.638775,129.685393,-10.559245,6.276508
0.020000,4.954842,12.480292,4.967314,35.227787,129.450633,-11.737967,6.275528
0.020000,5.711052,12.474117,5.723549,37.811765,129.198858,-12.588765,6.274517
0.020000,6.518826,12.466693,6.531357,40.390382,128.930859,-13.399921,6.273482
0.020000,7.378045,12.457901,7.390621,42.963185,128.640170,-14.534465,6.272433
0.020000,8.288587,12.447626,8.301221,45.530011,128.341300,-14.943522,6.271380
0.020000,9.250321,12.435763,9.263028,48.090362,128.017523,-16.188858,6.270333
0.020000,10.263111,12.422217,10.275909,50.644029,127.683366,-16.707807,6.269302
0.020000,11.326811,12.406908,11.339719,53.190505,127.323798,-17.978411,6.268300
0.020000,12.441272,12.389773,12.454312,55.729645,126.956993,-18.340239,6.267338
0.020000,13.606337,12.370768,13.619532,58.261007,126.568124,-19.443489,6.266428
0.020000,14.821842,12.349874,14.835216,60.784224,126.160818,-20.365296,6.265583
0.020000,16.087618,12.327094,16.101197,63.299046,125.741114,-20.985205,6.264818
0.020000,17.403488,12.302466,17.417298,65.805025,125.298981,-22.106655,6.264145
0.020000,18.769270,12.276056,18.783335,68.301884,124.842925,-22.802784,6.263580
0.020000,20.184777,12.247971,20.199120,70.789248,124.368182,-23.737134,6.263138
0.020000,21.649812,12.218355,21.664455,73.266712,123.873221,-24.748083,6.262834
