dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003874,-12.499999,0.008547,0.854701,42.735043,2136.752137,0.000310
0.020000,0.003115,-12.500000,0.009306,0.037953,-40.837395,-4178.621879,0.000249
0.020000,0.001411,-12.500000,0.011010,0.085188,2.361752,2159.957337,0.000113
0.020000,0.062892,-12.500004,0.072491,3.074078,149.444486,7354.136721,6.283072
0.020000,0.238449,-12.500051,0.248048,8.777825,285.187367,6787.144057,6.282758
0.020000,0.464210,-12.500193,0.473809,11.288068,125.512156,-7983.760592,6.282357
0.020000,0.740212,-12.500489,0.749812,13.800113,125.602226,4.503509,6.281873
0.020000,1.066495,-12.501009,1.076095,16.314162,125.702463,5.011884,6.281309
0.020000,1.443109,-12.501837,1.452709,18.830723,125.828045,6.279082,6.280669
0.020000,1.870108,-12.503064,1.879710,21.350055,125.966593,6.927376,6.279957
0.020000,2.347562,-12.504791,2.357167,23.872859,126.140233,8.682021,6.279179
0.020000,2.875538,-12.507129,2.885148,26.399048,126.309435,8.460086,6.278341
0.020000,3.454114,-12.510191,3.463732,28.929192,126.507179,9.887210,6.277448
0.020000,4.083376,-12.514099,4.093007,31.463749,126.727889,11.035516,6.276508
0.020000,4.763418,-12.518975,4.773067,34.002969,126.960954,11.653254,6.275528
0.020000,5.494338,-12.524944,5.504011,36.547215,127.212322,12.568380,6.274517
0.020000,6.276243,-12.532130,6.285948,39.096863,127.482414,13.504598,6.273482
0.020000,7.109242,-12.540654,7.118991,41.652156,127.764635,14.111060,6.272433
0.020000,7.993458,-12.550632,8.003264,44.213611,128.072747,15.405588,6.271380
0.020000,8.929015,-12.562173,8.938892,46.781417,128.390284,15.876879,6.270333
0.020000,9.916048,-12.575374,9.926013,49.356040,128.731154,17.043469,6.269302
0.020000,10.954693,-12.590322,10.964766,51.937652,129.080594,17.471997,6.268300
0.020000,12.045100,-12.607088,12.055301,54.526777,129.456279,18.784280,6.267338
0.020000,13.187421,-12.625721,13.197774,57.123653,129.843809,19.376480,6.266428
0.020000,14.381816,-12.646254,14.392346,59.728591,130.246872,20.153151,6.265583
0.020000,15.628455,-12.668689,15.639187,62.342025,130.671710,21.241909,6.264818
0.020000,16.927511,-12.693003,16.938471,64.964203,131.108920,21.860481,6.264145
0.020000,18.279170,-12.719139,18.290382,67.595553,131.567495,22.928766,6.263580
0.020000,19.683622,-12.747005,19.695110,70.236425,132.043563,23.803385,6.263138
0.020000,21.141067,-12.776468,21.152853,72.887157,132.536611,24.652433,6.262834
