dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003873,310.499999,0.008547,0.854701,42.735043,2136.752137,6.282875
0.020000,0.003114,310.500000,0.009306,0.037950,-40.837560,-4178.630162,6.282936
0.020000,0.001411,310.500000,0.011010,0.085181,2.361545,2159.955285,6.283072
0.020000,0.062893,310.500004,0.072491,3.074090,149.445478,7354.196664,0.000113
0.020000,0.238449,310.500051,0.248048,8.777842,285.187612,6787.106689,0.000428
0.020000,0.464211,310.500193,0.473810,11.288090,125.512398,-7983.760697,0.000828
0.020000,0.740214,310.500488,0.749813,13.800140,125.602465,4.503328,0.001312
0.020000,1.066497,310.501009,1.076097,16.314194,125.702699,5.011707,0.001876
0.020000,1.443112,310.501836,1.452712,18.830759,125.828276,6.278841,0.002516
0.020000,1.870112,310.503063,1.879714,21.350095,125.966818,6.927129,0.003228
0.020000,2.347567,310.504791,2.357172,23.872905,126.140452,8.681664,0.004006
0.020000,2.875543,310.507128,2.885154,26.399097,126.309648,8.459805,0.004844
0.020000,3.454120,310.510190,3.463739,28.929245,126.507385,9.886845,0.005737
0.020000,4.083384,310.514098,4.093015,31.463807,126.728087,11.035109,0.006677
0.020000,4.763427,310.518973,4.773076,34.003030,126.961144,11.652833,0.007656
0.020000,5.494349,310.524942,5.504021,36.547280,127.212502,12.567939,0.008668
0.020000,6.276254,310.532127,6.285960,39.096932,127.482585,13.504123,0.009703
0.020000,7.109255,310.540650,7.119004,41.652227,127.764796,14.110582,0.010751
0.020000,7.993473,310.550627,8.003278,44.213685,128.072897,15.405054,0.011804
0.020000,8.929031,310.562167,8.938908,46.781494,128.390425,15.876363,0.012851
0.020000,9.916065,310.575367,9.926030,49.356120,128.731283,17.042896,0.013882
0.020000,10.954713,310.590314,10.964785,51.937734,129.080712,17.471444,0.014884
0.020000,12.045121,310.607077,12.055322,54.526861,129.456385,18.783679,0.015846
0.020000,13.187444,310.625709,13.197797,57.123740,129.843903,19.375884,0.016756
0.020000,14.381841,310.646239,14.392371,59.728679,130.246954,20.152535,0.017600
0.020000,15.628481,310.668672,15.639213,62.342114,130.671779,21.241280,0.018365
0.020000,16.927540,310.692983,16.938499,64.964294,131.108976,21.859868,0.019038
0.020000,18.279200,310.719116,18.290412,67.595644,131.567539,22.928107,0.019603
0.020000,19.683654,310.746979,19.695142,70.236516,132.043593,23.802698,0.020045
0.020000,21.141101,310.776438,21.152887,72.887249,132.536628,24.651795,0.020348
0.020000,22.651751,310.807315,22.663852,75.548245,133.049827,25.659912,0.020497
0.020000,24.215820,310.839383,24.228250,78.219913,133.583380,26.677664,0.020473
0.020000,25.833537,310.872361,25.846303,80.902662,134.137432,27.702601,0.020260
0.020000,27.505139,310.905908,27.518242,83.596922,134.713001,28.778453,0.019838
0.020000,29.230873,310.939619,29.244305,86.303146,135.311205,29.910219,0.019189
0.020000,31.010997,310.973017,31.024742,89.021882,135.936833,31.281358,0.018292
0.020000,32.845780,311.005552,32.859813,91.753547,136.583239,32.320334,0.017128
0.020000,34.735500,311.036589,34.749789,94.498775,137.261378,33.906929,0.015673
0.020000,36.680448,311.065401,36.694950,97.258062,137.964375,35.149871,0.013907
0.020000,38.672259,311.091065,38.686926,99.598791,117.036418,-1046.397841,0.011814
0.020000,40.693822,311.112553,40.708603,101.083871,74.254033,-2139.119263,0.009396
0.020000,42.727904,311.128937,42.742752,101.707415,31.177198,-2153.841769,0.006664
0.020000,44.765857,311.139473,44.780731,101.898990,9.578732,-1079.923283,0.003625
0.020000,46.807696,311.143509,46.822575,102.092172,9.659118,4.019318,0.000278
0.020000,48.853437,311.140386,48.868318,102.287160,9.749384,4.513263,6.279803
0.020000,50.903088,311.129434,50.917998,102.484010,9.842516,4.656622,6.275829
0.020000,52.956653,311.109972,52.971655,102.682838,9.941385,4.943447,6.271536
0.020000,55.014129,311.081309,55.029331,102.883796,10.047910,5.326228,6.266922
0.020000,57.075508,311.042744,57.091071,103.086996,10.159997,5.604363,6.261983
0.020000,59.140773,310.993561,59.156922,103.292539,10.277118,5.856048,6.256715
0.020000,61.209898,310.933033,61.226932,103.500512,10.398671,6.077673,6.251114
0.020000,63.282847,310.860423,63.301152,103.710991,10.523978,6.265307,6.245176
0.020000,65.359571,310.774977,65.379632,103.924037,10.652271,6.414693,6.238897
0.020000,67.440008,310.675930,67.462426,104.139691,10.782696,6.521236,6.232273
0.020000,69.524083,310.562506,69.549586,104.357977,10.914296,6.580004,6.225300
0.020000,71.611705,310.433913,71.641164,104.578897,11.046011,6.585728,6.217973
0.020000,73.702762,310.289347,73.737212,104.802430,11.176667,6.532818,6.210289
0.020000,75.797126,310.127992,75.837783,105.028530,11.304975,6.415373,6.202243
0.020000,77.894649,309.949020,77.942927,105.257210,11.434019,6.452226,6.193831
0.020000,79.995156,309.751591,80.052693,105.488280,11.553505,5.974305,6.185049
0.020000,82.098449,309.534854,82.167123,105.721519,11.661938,5.421646,6.175894
0.020000,84.204302,309.297949,84.286259,105.956822,11.765155,5.160826,6.166363
0.020000,86.312460,309.040009,86.410139,106.193974,11.857576,4.621065,6.156452
0.020000,88.422638,308.760158,88.538793,106.432716,11.937123,3.977338,6.146158
0.020000,90.534522,308.457515,90.672252,106.672918,12.010098,3.648756,6.135481
0.020000,92.647756,308.131198,92.810531,106.913977,12.052948,2.142532,6.124418
0.020000,94.761947,307.780324,94.953641,107.155473,12.074782,1.091664,6.112968
0.020000,96.876667,307.404012,97.101582,107.397052,12.078991,0.210452,6.101132
0.020000,98.991448,307.001386,99.254349,107.638369,12.065842,-0.657432,6.088909
0.020000,101.105776,306.571579,101.411921,107.878605,12.011783,-2.702953,6.076302
0.020000,103.219094,306.113739,103.574264,108.117154,11.927435,-4.217385,6.063314
0.020000,105.330800,305.627029,105.741334,108.353487,11.816644,-5.539589,6.049947
0.020000,107.440249,305.110631,107.913071,108.586871,11.669200,-7.372185,6.036206
0.020000,109.546747,304.563758,110.089399,108.816369,11.474912,-9.714415,6.022099
0.020000,111.649553,303.985651,112.270225,109.041314,11.247236,-11.383771,6.007631
0.020000,113.747884,303.375588,114.455441,109.260788,10.973721,-13.675773,5.992812
0.020000,115.840909,302.732889,116.644919,109.473913,10.656255,-15.873292,5.977652
0.020000,117.927756,302.056920,118.838516,109.679823,10.295513,-18.037110,5.962163
0.020000,120.007509,301.347103,121.036062,109.877336,9.875652,-20.993038,5.946357
0.020000,122.079219,300.602915,123.237380,110.065865,9.426445,-22.460333,5.930249
0.020000,124.141901,299.823897,125.442267,110.244364,8.924938,-25.075378,5.913857
0.020000,126.194537,299.009661,127.650500,110.411684,8.365980,-27.947869,5.897196
0.020000,128.236086,298.159890,129.861842,110.567072,7.769434,-29.827323,5.880286
0.020000,130.265490,297.274342,132.076041,110.709928,7.142798,-31.331785,5.863148
0.020000,132.281676,296.352859,134.292826,110.839276,6.467367,-33.771555,5.845803
0.020000,134.283564,295.395364,136.511914,110.954385,5.755469,-35.594923,5.828274
0.020000,136.270069,294.401869,138.733002,111.054426,5.002065,-37.670185,5.810584
0.020000,138.240119,293.372470,140.955784,111.139101,4.233745,-38.416002,5.792759
0.020000,140.192659,292.307347,143.179947,111.208151,3.452487,-39.062912,5.774824
0.020000,142.126654,291.206768,145.405169,111.261097,2.647289,-40.259901,5.756803
0.020000,144.041100,290.071084,147.631125,111.297777,1.834041,-40.662374,5.738725
0.020000,145.935027,288.900729,149.857488,111.318162,1.019212,-40.741431,5.720613
0.020000,147.803568,287.698799,152.079217,111.086475,-11.584353,-630.178257,5.702534
0.020000,149.634264,286.474089,154.281798,110.129023,-47.872598,-1814.412245,5.684628
0.020000,151.411378,285.239055,156.445925,108.206333,-96.134503,-2413.095286,5.667072
0.020000,153.123825,284.004453,158.557018,105.554688,-132.582244,-1822.387018,5.650003
0.020000,154.768785,282.775987,160.610070,102.652574,-145.105705,-626.173043,5.633473
0.020000,156.347543,281.556489,162.604976,99.745326,-145.362378,-12.833668,5.617493
0.020000,157.861413,280.348691,164.541618,96.832072,-145.662711,-15.016670,5.602072
0.020000,159.311814,279.155151,166.419968,93.917512,-145.727988,-3.263851,5.587213
0.020000,160.700142,277.978334,168.239956,90.999383,-145.906473,-8.924258,5.572918
0.020000,162.027903,276.820494,170.001642,88.084334,-145.752424,7.702465,5.559186
0.020000,163.296557,275.683795,171.705042,85.169962,-145.718621,1.690158,5.546015
0.020000,164.507602,274.570234,173.350231,82.259446,-145.525789,9.641606,5.533399
0.020000,165.662475,273.481718,174.937240,79.350475,-145.448533,3.862794,5.521333
0.020000,166.762660,272.419969,176.466200,76.447995,-145.124035,16.224911,5.509810
0.020000,167.809556,271.386638,177.937174,73.548697,-144.964897,7.956874,5.498822
0.020000,168.804602,270.383189,179.350335,70.658075,-144.531072,21.691286,5.488359
0.020000,169.749108,269.411065,180.705739,67.770186,-144.394441,6.831511,5.478412
0.020000,170.644394,268.471548,182.003517,64.888908,-144.063930,16.525552,5.468972
0.020000,171.491744,267.565811,183.243824,62.015361,-143.677339,19.329589,5.460028
0.020000,172.292357,266.694967,184.426765,59.147049,-143.415605,13.086685,5.451571
0.020000,173.047402,265.860017,185.552481,56.285780,-143.063434,17.608552,5.443589
0.020000,173.757996,265.061878,186.621111,53.431502,-142.713904,17.476490,5.436074
0.020000,174.425136,264.301462,187.632697,50.579311,-142.609546,5.217909,5.429016
0.020000,175.049867,263.579491,188.587439,47.737070,-142.112081,24.873237,5.422405
0.020000,175.633109,262.896696,189.485426,44.899345,-141.886215,11.293319,5.416232
0.020000,176.175753,262.253710,190.326789,42.068192,-141.557651,16.428186,5.410488
0.020000,176.678565,261.651188,191.111553,39.238162,-141.501534,2.805872,5.405165
0.020000,177.142359,261.089608,191.839891,36.416921,-141.062041,21.974633,5.400256
0.020000,177.567827,260.569468,192.511880,33.599425,-140.874791,9.362473,5.395752
0.020000,177.955620,260.091202,193.127608,30.786439,-140.649317,11.273724,5.391648
0.020000,178.306299,259.655237,193.687109,27.975029,-140.570479,3.941909,5.387937
0.020000,178.620427,259.261887,194.190498,25.169433,-140.279792,14.534325,5.384614
0.020000,178.898482,258.911462,194.637838,22.366996,-140.121870,7.896094,5.381672
0.020000,179.140894,258.604225,195.029192,19.567715,-139.964060,7.890511,5.379108
0.020000,179.347996,258.340453,195.364553,16.768041,-139.983659,-0.979957,5.376917
