dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.003873,285.500001,0.008547,0.854701,42.735043,2136.752137,6.282875
0.020000,-0.003114,285.500000,0.009306,0.037950,-40.837560,-4178.630162,6.282936
0.020000,-0.001411,285.500000,0.011010,0.085181,2.361545,2159.955285,6.283072
0.020000,0.065724,285.500004,0.078145,3.356750,163.578497,8060.847613,0.000113
0.020000,0.249142,285.500053,0.261562,9.170884,290.706657,6356.407986,0.000428
0.020000,0.484918,285.500202,0.497339,11.788817,130.896655,-7990.500089,0.000828
0.020000,0.773020,285.500510,0.785441,14.405103,130.814321,-4.116700,0.001312
0.020000,1.113403,285.501053,1.125824,17.019180,130.703831,-5.524514,0.001876
0.020000,1.506018,285.501916,1.518440,19.630805,130.581272,-6.127964,0.002516
0.020000,1.950806,285.503194,1.963230,22.239485,130.434012,-7.363008,0.003228
0.020000,2.447707,285.504991,2.460134,24.845194,130.285402,-7.430462,0.004006
0.020000,2.996643,285.507421,3.009076,27.447086,130.094620,-9.539145,0.004844
0.020000,3.597535,285.510602,3.609976,30.045013,129.896372,-9.912366,0.005737
0.020000,4.250297,285.514655,4.262750,32.638717,129.685195,-10.558871,0.006677
0.020000,4.954833,285.519706,4.967305,35.227726,129.450444,-11.737550,0.007656
0.020000,5.711042,285.525881,5.723539,37.811700,129.198678,-12.588316,0.008668
0.020000,6.518814,285.533304,6.531345,40.390313,128.930688,-13.399456,0.009703
0.020000,7.378032,285.542095,7.390607,42.963114,128.640009,-14.533956,0.010751
0.020000,8.288572,285.552369,8.301206,45.529937,128.341149,-14.943026,0.011804
0.020000,9.250305,285.564231,9.263012,48.090284,128.017383,-16.188303,0.012851
0.020000,10.263093,285.577776,10.275891,50.643949,127.683237,-16.707273,0.013882
0.020000,11.326792,285.593083,11.339699,53.190423,127.323681,-17.977821,0.014884
0.020000,12.441251,285.610216,12.454290,55.729560,126.956887,-18.339668,0.015846
0.020000,13.606315,285.629218,13.619509,58.260921,126.568030,-19.442884,0.016756
0.020000,14.821818,285.650111,14.835192,60.784136,126.160736,-20.364684,0.017600
0.020000,16.087592,285.672888,16.101171,63.298957,125.741044,-20.984582,0.018365
0.020000,17.403460,285.697513,17.417269,65.804935,125.298925,-22.105993,0.019038
0.020000,18.769241,285.723920,18.783305,68.301793,124.842882,-22.802148,0.019603
0.020000,20.184745,285.752001,20.199088,70.789156,124.368152,-23.736505,0.020045
0.020000,21.649779,285.781614,21.664421,73.266620,123.873204,-24.747384,0.020348
0.020000,23.164139,285.812566,23.179097,75.733820,123.359994,-25.660484,0.020497
0.020000,24.727617,285.844622,24.742904,78.190364,122.827209,-26.639251,0.020473
0.020000,26.339999,285.877492,26.355621,80.635829,122.273233,-27.698833,0.020260
0.020000,28.001060,285.910827,28.017016,83.069769,121.697048,-28.809218,0.019838
0.020000,29.710568,285.944221,29.726851,85.491718,121.097442,-29.980285,0.019189
0.020000,31.468284,285.977200,31.484876,87.901249,120.476508,-31.046701,0.018292
0.020000,33.273955,286.009219,33.290831,90.297743,119.824716,-32.589637,0.017128
0.020000,35.127319,286.039659,35.144445,92.680735,119.149589,-33.756327,0.015673
0.020000,37.028102,286.067818,37.045436,95.049549,118.440736,-35.442671,0.013907
0.020000,38.967590,286.092809,38.985086,96.982480,96.646532,-1089.710202,0.011814
0.020000,40.928708,286.113657,40.946314,98.061405,53.946262,-2135.013467,0.009396
0.020000,42.894494,286.129492,42.912164,98.292519,11.555711,-2119.527557,0.006664
0.020000,44.856486,286.139637,44.874182,98.100903,-9.580835,-1056.827291,0.003625
0.020000,46.814636,286.143510,46.832336,97.907678,-9.661243,-4.020417,0.000278
0.020000,48.768889,286.140529,48.786591,97.712759,-9.745953,-4.235513,6.279803
0.020000,50.719180,286.130110,50.736910,97.515937,-9.841105,-4.757569,6.275829
0.020000,52.665434,286.111668,52.683251,97.317072,-9.943248,-5.107152,6.271536
0.020000,54.607567,286.084616,54.625573,97.116076,-10.049799,-5.327559,6.266922
0.020000,56.545485,286.048363,56.563830,96.912838,-10.161879,-5.604015,6.261983
0.020000,58.479082,286.002319,58.497975,96.707258,-10.278986,-5.855355,6.256715
0.020000,60.408242,285.945890,60.427960,96.499248,-10.400547,-6.078048,6.251114
0.020000,62.332836,285.878480,62.353734,96.288729,-10.525910,-6.268162,6.245176
0.020000,64.252725,285.799491,64.275247,96.075643,-10.654337,-6.421346,6.238897
0.020000,66.167755,285.708324,66.192446,95.859943,-10.784994,-6.532813,6.232273
0.020000,68.077760,285.604378,68.105278,95.641604,-10.916940,-6.597329,6.225300
0.020000,69.982563,285.487051,70.013691,95.420621,-11.049124,-6.609213,6.217973
0.020000,71.881970,285.355741,71.917631,95.197014,-11.180371,-6.562350,6.210289
0.020000,73.775774,285.209844,73.817047,94.970826,-11.309376,-6.450211,6.202243
0.020000,75.663759,285.048756,75.711892,94.742213,-11.430652,-6.063826,6.193831
0.020000,77.545689,284.871878,77.602116,94.511203,-11.550531,-5.993929,6.185049
0.020000,79.421315,284.678608,79.487673,94.277862,-11.667026,-5.824759,6.175894
0.020000,81.290375,284.468350,81.368522,94.042434,-11.771393,-5.218351,6.166363
0.020000,83.152591,284.240508,83.244624,93.805137,-11.864869,-4.673789,6.156452
0.020000,85.007674,283.994496,85.115949,93.566232,-11.945264,-4.019746,6.146158
0.020000,86.855323,283.729727,86.982472,93.326175,-12.002817,-2.877686,6.135481
0.020000,88.695220,283.445626,88.844174,93.085102,-12.053679,-2.543090,6.124418
0.020000,90.527034,283.141624,90.701043,92.843401,-12.085020,-1.567053,6.112968
0.020000,92.350424,282.817163,92.553075,92.601621,-12.089043,-0.201155,6.101132
0.020000,94.165039,282.471694,94.400283,92.360408,-12.060645,1.419915,6.088909
0.020000,95.970516,282.104681,96.242685,92.120108,-12.015006,2.281969,6.076302
0.020000,97.766482,281.715604,98.080312,91.881351,-11.937807,3.859953,6.063314
0.020000,99.552556,281.303955,99.913211,91.644935,-11.820845,5.848056,6.049947
0.020000,101.328354,280.869246,101.741442,91.411574,-11.668032,7.640652,6.036206
0.020000,103.093481,280.411008,103.565081,91.181907,-11.483337,9.234783,6.022099
0.020000,104.847541,279.928789,105.384218,90.956882,-11.251235,11.605109,6.007631
